Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
Amangkurat III;?;1-january-1734;?;;;1734;;
;;;;;;;;
Pakubuwana I;2-February-1648;22-February-1719;1648;2;2;1719;2;22
;;;;;;;;
Paku Alam I;21-March-1764;4-October-1829;1764;3;21;1829;10;4
;;;;;;;;
Hamengkubuwana II;7-March-1750;3-January-1828;1750;3;7;1828;1;3
;;;;;;;;
Sultan Mahmud Syah;;28-January-1874;;;;1874;1;28
;;;;;;;;
Hamengkubuwana III;20 Februari 1769;3-November-1814;1769;2;20;1814;11;3
;;;;;;;;
Kiai Madja;1-January-1792;20-December-1849;1792;;;1849;12;20
;;;;;;;;
Hidayatullah II dari Banjar;1-January-1822;24-Nov-04;1822;;;1904;11;24
;;;;;;;;
Amangkurat IV;1-january-1680;20-April-1726;1680;;;1726;4;20
;;;;;;;;
Pakubuwana III;24-February-1732;26-September-1788;1732;2;24;1788;9;26
;;;;;;;;
Mangkunegara II;05-January-1768;17-January-1835;1768;1;5;1835;1;17
;;;;;;;;
Mangkunegara I;7-April-1725;28-December-1795;1725;4;7;1795;12;28
;;;;;;;;
Amangkurat V;1-january-1726;?;1726;;;?;;
;;;;;;;;
Pakubuwana II;8-December 1711;20-December-1749;1711;12;8;1749;8;20
;;;;;;;;
Pakubuwana IX;22-December-1830;16-March-1893;1830;12;22;1893;3;16
;;;;;;;;
Sultan Alauddin Riayat Syah;;1-January-1605;;;;1605;;
;;;;;;;;
Amangkurat I;1-January-1618;13-July-1677;1618;;;1677;7;13
;;;;;;;;
Pakubuwana VII;8-July-1796;10-May-1858;1796;7;8;1858;5;10
;;;;;;;;
Pakubuwana XI;1-February-1886;01-Jun-45;1886;2;1;1945;6;1
;;;;;;;;
Hamengkubuwana IX;12-Apr-12;02-Oct-88;1912;4;12;1988;10;2
;;;;;;;;
Thaha Syaifuddin dari Jambi;;;;;;;;
;;;;;;;;
Paku Alam VII;9-December-1882;16-Feb-37;1882;12;9;1937;2;16
;;;;;;;;
Sultan Muhammad Bahauddin;15-March-1729;2-April-1804;1729;3;15;1804;4;2
;;;;;;;;
Khairun Jamil dari Ternate;?;28-February-1570;;;;1570;2;28
;;;;;;;;
Pangeran Anglingkusumo;08-Jan-44;;1944;1;8;;;
;;;;;;;;
Hamengkubuwana X;02-Apr-46;;1946;4;2;;;
;;;;;;;;
Sulaiman dari Banjar;#NAME?;03-June-1825;1761;;;1825;6;3
;;;;;;;;
Anyakrawati;tidak diketahui;1-january-1613;;;;1613;;
;;;;;;;;
Pakubuwana V;13-December-1784;5-September-1823;1784;12;13;1823;9;5
;;;;;;;;
Andi Abdullah Bau Massepe;;;;;;;;
;;;;;;;;
Hayam Wuruk;1-january-1334;1-January-1389;1334;;;1389;;
;;;;;;;;
Jayakatwang;;1-January-1293;;;;1293;;
;;;;;;;;
Linggabuana;;1-january-1357;;;;1357;;
;;;;;;;;
Dyah Pitaloka Citraresmi;1-January-1340;1-January-1357;1340;;;1357;;
;;;;;;;;
Wikramawardhana;;1-January-1429;;;;1429;;
;;;;;;;;
Republik Papua Barat;01/12/1961;;1961;12;1;;;
;;;;;;;;
Pemerintahan Revolusioner Republik Indonesia;;;;;;;;
;;;;;;;;
Keresidenan Banten;1942-00-00;1817-00-00;1942;;;1817;;
;;;;;;;;
Hindia Belanda;1949-00-00;1800-00-00;1949;;;1800;;
;;;;;;;;
Kesultanan Siak Sri Inderapura;1945-00-00;1723-00-00;1945;;;1723;;
;;;;;;;;
Administrasi Sementara PBB di Timor Timur;2002-00-00;1999-00-00;2002;;;1999;;
;;;;;;;;
Kesultanan Ngayogyakarta Hadiningrat;;1755-00-00;;;;1755;;
;;;;;;;;
Pemerintah Sementara Timor Timur;1976-00-00;1975-00-00;1976;;;1975;;
;;;;;;;;
Orde Baru;1998-00-00;1966-00-00;1998;;;1966;;
;;;;;;;;
Nugini Belanda;1962-00-00;1949-00-00;1962;;;1949;;
;;;;;;;;
Batavia;1949-00-00;1619-00-00;1949;;;1619;;
;;;;;;;;
Timor Portugis;1975-00-00;1702-00-00;1975;;;1702;;
;;;;;;;;
Republik Tiongkok (1912–1949);1949-00-00;1912-00-00;1949;;;1912;;
;;;;;;;;
Kekaisaran Jepang;1947-00-00;1868-00-00;1947;;;1868;;
;;;;;;;;
Republik Indonesia (1949–1950);27/12/1949;17/08/1950;1949;12;27;1950;8;17
;;;;;;;;
Timor Timur;17/07/1976;25/10/1999;1976;7;17;1999;10;25
;;;;;;;;
Aminuddin Ponulele;05/07/1939;27/01/2021;1939;7;5;2021;1;27
;;;;;;;;
Rosihan Arsyad;29/07/1949;;1949;7;29;;;
;;;;;;;;
Alex Noerdin;09/09/1950;;1950;9;9;;;
;;;;;;;;
Syahrial Oesman;25/05/1955;;1955;5;25;;;
;;;;;;;;
Partai Katolik (Indonesia);1918-00-00;1973-00-00;1918;;;1973;;
;;;;;;;;
Partai Hati Nurani Rakyat;21/12/2006;;2006;12;21;;;
;;;;;;;;
Partai Berkarya;15/07/2016;;2016;7;15;;;
;;;;;;;;
Partai Karya Peduli Bangsa;09/09/2002;;2002;9;9;;;
;;;;;;;;
Pemuda Pancasila;1965-00-00;;1965;;;;;
;;;;;;;;
Pasukan Internasional Timor Timur;20/09/1999;20/02/2000;1999;9;20;2000;2;20
;;;;;;;;
Aitarak;;;;;;;;
;;;;;;;;
I Gusti Ngurah Rai;30/01/1917;20/11/1946;1917;1;30;1946;11;20
;;;;;;;;
