Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
key;start-date;end-date;start-year;start-month;start-day;end-year;end-month;end-day
;;;;;;;;
B. M. Diah;07/04/1917;10/06/1996;1917;4;7;1996;6;10
;;;;;;;;
Adrianus Mooy;10/04/1936;;1936;4;10;;;
;;;;;;;;
Fuad Bawazier;22/08/1949;;1949;8;22;;;
;;;;;;;;
Ratu Emma Norma;03/03/1928;18/07/2012;1928;3;3;2012;7;18
;;;;;;;;
Muhammad Sanusi;28/11/1920;07/07/2002;1920;11;28;2002;7;7
;;;;;;;;
Endang Kusuma Inten Soeweno;02/02/1944;;1944;2;2;;;
;;;;;;;;
Firman Santyabudi;17/11/1965;;1965;11;17;;;
;;;;;;;;
S.K. Trimurti;11/05/1912;20/05/2008;1912;5;11;2008;5;20
;;;;;;;;
Lodewijk Freidrich Paulus;27/06/1956;;1956;6;27;;;
;;;;;;;;
Soerjadi Soerjadarma;06/12/1912;16/08/1975;1912;12;6;1975;8;16
;;;;;;;;
Sutoyo Siswomiharjo;28/08/1922;01/10/1965;1922;8;28;1965;10;1
;;;;;;;;
Robertus Sanyoto;16/07/1947;;1947;7;16;;;
;;;;;;;;
Nino Konis Santana;12/01/1957;11/03/1998;1957;1;12;1998;3;11
;;;;;;;;
Hoegeng Iman Santoso;14/10/1921;14/07/2004;1921;10;14;2004;7;14
;;;;;;;;
Haryati Soebadio;24/06/1928;30/04/2007;1928;6;24;2007;4;30
;;;;;;;;
Ida Bagus Mantra;08/05/1928;10/07/1995;1928;5;8;1995;7;10
;;;;;;;;
Yogi Supardi;25/07/1929;15/09/2019;1929;7;25;2019;9;15
;;;;;;;;
Hadi Prabowo;03/04/1960;;1960;4;3;;;
;;;;;;;;
A.M. Hendropriyono;07/05/1945;;1945;5;7;;;
;;;;;;;;
Wiranto;04/04/1947;;1947;4;4;;;
;;;;;;;;
Osa Maliki Wangsadinata;30/12/1907;14/09/1969;1907;12;30;1969;9;14
;;;;;;;;
Saleh Afiff;31/10/1930;28/06/2005;1930;10;31;2005;6;28
;;;;;;;;
Alex Asmasoebrata;23/06/1951;02/01/2021;1951;6;23;2021;1;2
;;;;;;;;
Sayidiman Suryohadiprojo;21/09/1927;16/01/2021;1927;9;21;2021;1;16
;;;;;;;;
Poniman;18/07/1926;30/04/2010;1926;7;18;2010;4;30
;;;;;;;;
I Gusti Ketut Pudja;19/05/1908;04/05/1977;1908;5;19;1977;5;4
;;;;;;;;
Rusli Halil;23/07/1920;10/07/1984;1920;7;23;1984;7;10
;;;;;;;;
Ong Eng Die;20/06/1910;;1910;6;20;;;
;;;;;;;;
Soesilo Soedarman;12/11/1928;18/12/1997;1928;11;12;1997;12;18
;;;;;;;;
Widodo A. S.;01/08/1944;;1944;8;1;;;
;;;;;;;;
Setya Novanto;12/11/1955;;1955;11;12;;;
;;;;;;;;
Syamaun Gaharu;10/11/1913;30/09/2000;1913;11;10;2000;9;30
;;;;;;;;
Yos Sudarso;24/11/1925;15/01/1962;1925;11;24;1962;1;15
;;;;;;;;
Izaac Hindom;23/12/1934;11/03/2009;1934;12;23;2009;3;11
;;;;;;;;
Sugiono (militer);10/09/1948;;1948;9;10;;;
;;;;;;;;
Dodi Reza Alex Noerdin;01/11/1970;;1970;11;1;;;
;;;;;;;;
Subiakto Tjakrawerdaya;10/08/1944;02/01/2021;1944;8;10;2021;1;2
;;;;;;;;
Nugroho Notosusanto;15/07/1930;03/06/1985;1930;7;15;1985;6;3
;;;;;;;;
Joop Ave;05/12/1934;05/02/2014;1934;12;5;2014;2;5
;;;;;;;;
Bambang Trihatmodjo;23/07/1953;;1953;7;23;;;
;;;;;;;;
Wirjono Prodjodikoro;11/06/1903;01/04/1985;1903;6;11;1985;4;1
;;;;;;;;
Tungki Ariwibowo;13/12/1936;03/03/2007;1936;12;13;2007;3;3
;;;;;;;;
M. Jusuf;23/06/1928;08/09/2004;1928;6;23;2004;9;8
;;;;;;;;
Rudini;15/12/1929;21/01/2006;1929;12;15;2006;1;21
;;;;;;;;
Munawir Sjadzali;07/11/1925;23/07/2004;1925;11;7;2004;7;23
;;;;;;;;
Nazom Nurhawi;25/12/1940;12/03/2013;1940;12;25;2013;3;12
;;;;;;;;
Harsono Tjokroaminoto;24/04/1912;22/04/1992;1912;4;24;1992;4;22
;;;;;;;;
R. Hartono;10/06/1941;;1941;6;10;;;
;;;;;;;;
Sugiyono (politikus);28/08/1928;15/08/2004;1928;8;28;2004;8;15
;;;;;;;;
Kaharuddin Nasution;23/07/1925;25/09/1990;1925;7;23;1990;9;25
;;;;;;;;
Mooryati Soedibyo;05/01/1928;;1928;1;5;;;
;;;;;;;;
Ali Moertopo;23/09/1924;15/05/1984;1924;9;23;1984;5;15
;;;;;;;;
Mohamad Roem;16/05/1908;24/09/1983;1908;5;16;1983;9;24
;;;;;;;;
Soebandrio;15/09/1914;03/07/2004;1914;9;15;2004;7;3
;;;;;;;;
Achmad Affandi;27/10/1927;29/12/1990;1927;10;27;1990;12;29
;;;;;;;;
Daoed Joesoef;08/08/1926;23/01/2018;1926;8;8;2018;1;23
;;;;;;;;
Yoga Sugama;12/05/1925;23/04/2003;1925;5;12;2003;4;23
;;;;;;;;
Himawan Soetanto;14/09/1929;20/10/2010;1929;9;14;2010;10;20
;;;;;;;;
Azwar Anas;02/08/1933;05/03/2023;1933;8;2;2023;3;5
;;;;;;;;
Ipik Asmasoebrata;16/06/1922;28/08/2003;1922;6;16;2003;8;28
;;;;;;;;
José Abílio Osório Soares;02/06/1947;17/06/2007;1947;6;2;2007;6;17
;;;;;;;;
A.R. Soehoed;02/03/1920;07/06/2014;1920;3;2;2014;6;7
;;;;;;;;
Timur P. Manurung;14/08/1947;;1947;8;14;;;
;;;;;;;;
Musannif Ryacudu;28/02/1924;06/03/1987;1924;2;28;1987;3;6
;;;;;;;;
Goenarso;22/10/1908;06/03/1992;1908;10;22;1992;3;6
;;;;;;;;
Marzuki Usman;30/09/1943;;1943;9;30;;;
;;;;;;;;
Bambang Purwanto;1964-09-00;;1964;9;;;;
;;;;;;;;
Djatikoesoemo;01/07/1917;04/07/1992;1917;7;1;1992;7;4
;;;;;;;;
Jusuf Wanandi;15/11/1937;;1937;11;15;;;
;;;;;;;;
Ibnu Sutowo;23/09/1914;12/01/2001;1914;9;23;2001;1;12
;;;;;;;;
Hasri Ainun Besari;11/08/1937;22/05/2010;1937;8;11;2010;5;22
;;;;;;;;
Edie Toet Hendratno;27/03/1951;;1951;3;27;;;
;;;;;;;;
Emanuel Melkiades Laka Lena;10/12/1976;;1976;12;10;;;
;;;;;;;;
Muhammad Yusuf Asy'ari;21/10/1945;14/11/2019;1945;10;21;2019;11;14
;;;;;;;;
Haris Sudarno;17/12/1941;;1941;12;17;;;
;;;;;;;;
Sari Yuliati;02/06/1976;;1976;6;2;;;
;;;;;;;;
Kharis Suhud;10/04/1925;20/08/2012;1925;4;10;2012;8;20
;;;;;;;;
Maraden Panggabean;29/06/1922;28/05/2000;1922;6;29;2000;5;28
;;;;;;;;
Linda Amalia Sari;15/11/1951;;1951;11;15;;;
;;;;;;;;
Achmad Sjaichu;29/06/1921;04/01/1995;1921;6;29;1995;1;4
;;;;;;;;
Suhardiman;16/12/1924;13/12/2015;1924;12;16;2015;12;13
;;;;;;;;
Muin Pusadan;12/08/1945;20/05/2007;1945;8;12;2007;5;20
;;;;;;;;
Iskandar Sitompul;22/06/1957;;1957;6;22;;;
;;;;;;;;
Sutami;19/10/1928;13/11/1980;1928;10;19;1980;11;13
;;;;;;;;
Mohammad Natsir;17/07/1908;06/02/1993;1908;7;17;1993;2;6
;;;;;;;;
Mukti Ali;23/08/1923;05/05/2004;1923;8;23;2004;5;5
;;;;;;;;
Sutanto Wiryoprasonto;24/07/1924;03/04/2000;1924;7;24;2000;4;3
;;;;;;;;
Danang Hadiwibowo;09/12/1966;;1966;12;9;;;
;;;;;;;;
Hari Suharto;26/02/1924;;1924;2;26;;;
;;;;;;;;
Indroyono Soesilo;27/03/1955;;1955;3;27;;;
;;;;;;;;
Nasrudin Sumintapura;01/08/1938;05/05/2011;1938;8;1;2011;5;5
;;;;;;;;
Gita Wirjawan;21/09/1965;;1965;9;21;;;
;;;;;;;;
Ma'huno Bulerek Karathayano;14/04/1949;24/09/2021;1949;4;14;2021;9;24
;;;;;;;;
Sudomo;20/09/1926;18/04/2012;1926;9;20;2012;4;18
;;;;;;;;
Amien Rais;26/04/1944;;1944;4;26;;;
;;;;;;;;
Hartanto Edhie Wibowo;31/05/1969;;1969;5;31;;;
;;;;;;;;
Mahar Mardjono;08/01/1923;19/09/2002;1923;1;8;2002;9;19
;;;;;;;;
Sophan Sophiaan;26/04/1944;17/05/2008;1944;4;26;2008;5;17
;;;;;;;;
R. Soebijakto;14/07/1917;12/08/1999;1917;7;14;1999;8;12
;;;;;;;;
Burhanuddin Abdullah;10/07/1947;;1947;7;10;;;
;;;;;;;;
Suwiryo;17/02/1903;27/08/1967;1903;2;17;1967;8;27
;;;;;;;;
Dading Kalbuadi;14/04/1931;10/10/1999;1931;4;14;1999;10;10
;;;;;;;;
Kasman Singodimedjo;25/02/1904;25/10/1982;1904;2;25;1982;10;25
;;;;;;;;
Djoehana Wiradikarta;1896-09-18;01/01/1986;1896;9;18;1986;1;1
;;;;;;;;
Francisco Guterres;07/09/1954;;1954;9;7;;;
;;;;;;;;
Jenny Shipley;04/02/1952;;1952;2;4;;;
;;;;;;;;
Suwardjono Surjaningrat;03/05/1923;21/08/2012;1923;5;3;2012;8;21
;;;;;;;;
Ginandjar Kartasasmita;09/04/1941;;1941;4;9;;;
;;;;;;;;
Achmad Tahir;27/06/1924;17/08/2002;1924;6;27;2002;8;17
;;;;;;;;
Akbar Tanjung;14/08/1945;;1945;8;14;;;
;;;;;;;;
Soemono;;;;;;;;
;;;;;;;;
A.M. Fatwa;12/02/1939;14/12/2017;1939;2;12;2017;12;14
;;;;;;;;
Dewi Asmara;29/06/1961;;1961;6;29;;;
;;;;;;;;
Bob Hasan;24/02/1931;31/03/2020;1931;2;24;2020;3;31
;;;;;;;;
Fahri Hamzah;10/11/1971;;1971;11;10;;;
;;;;;;;;
Bambang Soegeng;31/10/1913;22/06/1977;1913;10;31;1977;6;22
;;;;;;;;
Abdul Azis Saleh;20/09/1914;03/04/2001;1914;9;20;2001;4;3
;;;;;;;;
Indriyanto Seno Adji;11/11/1957;;1957;11;11;;;
;;;;;;;;
Mahfud MD;13/05/1957;;1957;5;13;;;
;;;;;;;;
Subagyo Hadi Siswoyo;12/06/1946;;1946;6;12;;;
;;;;;;;;
Soedjono Djoened Poesponegoro;14/06/1908;24/11/1986;1908;6;14;1986;11;24
;;;;;;;;
Ismail Saleh;07/09/1926;21/10/2008;1926;9;7;2008;10;21
;;;;;;;;
Denny Indrayana;11/12/1972;;1972;12;11;;;
;;;;;;;;
Harmoko;07/02/1939;04/07/2021;1939;2;7;2021;7;4
;;;;;;;;
Marzuki Darusman;26/01/1945;;1945;1;26;;;
;;;;;;;;
Marzuki Alie;06/11/1955;;1955;11;6;;;
;;;;;;;;
Hadi Thayeb;14/09/1922;10/01/2014;1922;9;14;2014;1;10
;;;;;;;;
Soekardi;28/02/1920;28/08/2015;1920;2;28;2015;8;28
;;;;;;;;
Soerjadi Soedirdja;11/10/1938;03/08/2021;1938;10;11;2021;8;3
;;;;;;;;
Fatmawati;05/02/1923;14/05/1980;1923;2;5;1980;5;14
;;;;;;;;
Sarwo Edhie Wibowo;25/07/1925;09/11/1989;1925;7;25;1989;11;9
;;;;;;;;
Mar'ie Muhammad;03/04/1939;11/12/2016;1939;4;3;2016;12;11
;;;;;;;;
Mervin Sadipun Komber;20/06/1980;;1980;6;20;;;
;;;;;;;;
Daryatmo;18/06/1925;06/12/1992;1925;6;18;1992;12;6
;;;;;;;;
Jusuf Wibisono;28/02/1909;15/06/1982;1909;2;28;1982;6;15
;;;;;;;;
Filomeno Hornay;01/01/1960;;1960;1;1;;;
;;;;;;;;
Siswondo Parman;04/08/1918;01/10/1965;1918;8;4;1965;10;1
;;;;;;;;
Bernardus Sugiarta Muljana;03/03/1931;15/09/2014;1931;3;3;2014;9;15
;;;;;;;;
Roesmin Noerjadin;31/05/1930;08/09/1994;1930;5;31;1994;9;8
;;;;;;;;
Justika Baharsjah;07/05/1937;;1937;5;7;;;
;;;;;;;;
T.B. Simatupang;28/01/1920;01/01/1990;1920;1;28;1990;1;1
;;;;;;;;
Soeweno;06/06/1929;19/11/1998;1929;6;6;1998;11;19
;;;;;;;;
Albert Mangaratua Tambunan;25/09/1911;12/12/1970;1911;9;25;1970;12;12
;;;;;;;;
Iwa Koesoemasoemantri;1899-05-31;27/11/1971;1899;5;31;1971;11;27
;;;;;;;;
Soedjarwo;15/04/1922;12/01/2004;1922;4;15;2004;1;12
;;;;;;;;
Pontjo Sutowo;17/08/1950;;1950;8;17;;;
;;;;;;;;
Sumiskum;29/04/1924;06/08/2005;1924;4;29;2005;8;6
;;;;;;;;
Muhammad Mangundiprojo;05/01/1905;13/12/1988;1905;1;5;1988;12;13
;;;;;;;;
Ali Wardhana;06/05/1928;14/09/2015;1928;5;6;2015;9;14
;;;;;;;;
Melanchton Siregar;07/08/1912;24/02/1975;1912;8;7;1975;2;24
;;;;;;;;
Mochamad Jasin;22/07/1921;07/04/2013;1921;7;22;2013;4;7
;;;;;;;;
Oesman Sapta Odang;18/08/1950;;1950;8;18;;;
;;;;;;;;
Eurico Guterres;04/07/1969;;1969;7;4;;;
;;;;;;;;
Zaenal Ma'arif;14/09/1955;15/02/2023;1955;9;14;2023;2;15
;;;;;;;;
Mohammad Sadli;10/06/1922;08/01/2008;1922;6;10;2008;1;8
;;;;;;;;
Muchdi Purwoprandjono;15/04/1949;;1949;4;15;;;
;;;;;;;;
Tommy Soeharto;15/07/1962;;1962;7;15;;;
;;;;;;;;
Bomer Pasaribu;22/08/1942;;1942;8;22;;;
;;;;;;;;
Taufik Kurniawan;22/11/1967;24/11/2022;1967;11;22;2022;11;24
;;;;;;;;
Hasan Slamet;06/08/1925;08/01/1999;1925;8;6;1999;1;8
;;;;;;;;
Hidayat Nur Wahid;08/04/1960;;1960;4;8;;;
;;;;;;;;
Ignatius Joseph Kasimo Hendrowahyono;10/04/1900;01/08/1986;1900;4;10;1986;8;1
;;;;;;;;
Aliansi Progresif;22/05/2013;;2013;5;22;;;
;;;;;;;;
Sosialis Internasional;03/06/1951;;1951;6;3;;;
;;;;;;;;
Bank Pembangunan Asia;;;;;;;;
;;;;;;;;
Komite Olahraga Nasional Indonesia;15/10/1938;;1938;10;15;;;
;;;;;;;;
Nahdlatul Ulama;31/01/1926;;1926;1;31;;;
;;;;;;;;
Persatuan Wartawan Indonesia;09/02/1946;;1946;2;9;;;
;;;;;;;;
Yayasan Supersemar;16/05/1974;;1974;5;16;;;
;;;;;;;;
Ikatan Pemuda Karya;28/08/1969;;1969;8;28;;;
;;;;;;;;
KOSGORO;10/11/1957;;1957;11;10;;;
;;;;;;;;
Persatuan Wredatama Republik Indonesia;24/07/1962;;1962;7;24;;;
;;;;;;;;
Partai Persatuan Pembangunan;05/01/1973;;1973;1;5;;;
;;;;;;;;
Partai Demokrasi Rakyat Indonesia;2016-00-00;;2016;;;;;
;;;;;;;;
Partai Demokrasi Indonesia Perjuangan;10/01/1973;;1973;1;10;;;
;;;;;;;;
Partai Patriot (Indonesia);01/06/2001;;2001;6;1;;;
;;;;;;;;
Partai Penegak Demokrasi Indonesia;10/01/1973;;1973;1;10;;;
;;;;;;;;
Partai Nasional Indonesia;04/07/1927;;1927;7;4;;;
;;;;;;;;
Partai Gerakan Indonesia Raya;06/02/2008;;2008;2;6;;;
;;;;;;;;
Partai Persatuan Indonesia;08/10/2014;;2014;10;8;;;
;;;;;;;;
Partai Golongan Karya;20/10/1964;;1964;10;20;;;
;;;;;;;;
Partai Amanat Nasional;23/08/1998;;1998;8;23;;;
;;;;;;;;
Partai Nasional Indonesia - Front Marhaenis;10/02/1999;;1999;2;10;;;
;;;;;;;;
Partai Indonesia;30/04/1931;18/11/1936;1931;4;30;1936;11;18
;;;;;;;;
Partai Buruh Indonesia;15/09/1945;;1945;9;15;;;
;;;;;;;;
Sutan Sjahrir;05/03/1909;09/04/1966;1909;3;5;1966;4;9
;;;;;;;;
Djoeanda Kartawidjaja;14/01/1911;07/11/1963;1911;1;14;1963;11;7
;;;;;;;;
Burhanuddin Harahap;12/02/1917;14/06/1987;1917;2;12;1987;6;14
;;;;;;;;
Abdoel Halim;27/12/1911;04/07/1987;1911;12;27;1987;7;4
;;;;;;;;
Wilopo;21/10/1909;20/01/1981;1909;10;21;1981;1;20
;;;;;;;;
Partai Syarikat Islam Indonesia;1923-00-00;;1923;;;;;
;;;;;;;;
Uni Demokrasi Timor;11/05/1974;;1974;5;11;;;
;;;;;;;;
Partai Swara Rakyat Indonesia;15/11/2013;;2013;11;15;;;
;;;;;;;;
Partai Ikatan Pendukung Kemerdekaan Indonesia;20/05/1954;;1954;5;20;;;
;;;;;;;;
Front Revolusi Independen Timor Leste;20/05/1974;;1974;5;20;;;
;;;;;;;;
Gerakan Aceh Merdeka;04/12/1976;;1976;12;4;;;
;;;;;;;;
Partai Sosialis Indonesia;13/02/1948;;1948;2;13;;;
;;;;;;;;
Front Anti-Komunis Indonesia;;;;;;;;
;;;;;;;;
Partai Komunis Indonesia;09/05/1914;;1914;5;9;;;
;;;;;;;;
Partai Muslimin Indonesia;20/02/1968;;1968;2;20;;;
;;;;;;;;
Partai Demokrasi Indonesia;11/01/1973;;1973;1;11;;;
;;;;;;;;
Partai Kristen Indonesia;10/11/1945;;1945;11;10;;;
;;;;;;;;
Margono Djojohadikoesoemo;1894-05-16;02/07/1978;1894;5;16;1978;7;2
;;;;;;;;
Adam Malik;22/07/1917;05/09/1984;1917;7;22;1984;9;5
;;;;;;;;
Megawati Soekarnoputri;23/01/1947;;1947;1;23;;;
;;;;;;;;
Syafruddin Prawiranegara;28/02/1911;15/02/1989;1911;2;28;1989;2;15
;;;;;;;;
Rusli Noor;01/05/1927;;1927;5;1;;;
;;;;;;;;
Hartono Rekso Dharsono;10/06/1925;05/06/1996;1925;6;10;1996;6;5
;;;;;;;;
B. J. Habibie;25/06/1936;11/09/2019;1936;6;25;2019;9;11
;;;;;;;;
Taur Matan Ruak;10/10/1956;;1956;10;10;;;
;;;;;;;;
Dobrica ?osi?;29/12/1921;18/05/2014;1921;12;29;2014;5;18
;;;;;;;;
Soeharto;08/06/1921;27/01/2008;1921;6;8;2008;1;27
;;;;;;;;
Nicolau dos Reis Lobato;24/05/1946;31/12/1978;1946;5;24;1978;12;31
;;;;;;;;
Mohammad Hatta;12/08/1902;14/03/1980;1902;8;12;1980;3;14
;;;;;;;;
Joko Widodo;21/06/1961;;1961;6;21;;;
;;;;;;;;
Try Sutrisno;15/11/1935;;1935;11;15;;;
;;;;;;;;
Umar Wirahadikusumah;10/10/1924;21/03/2003;1924;10;10;2003;3;21
;;;;;;;;
Hamzah Haz;15/02/1940;;1940;2;15;;;
;;;;;;;;
Organisasi Papua Merdeka;26/07/1965;;1965;7;26;;;
;;;;;;;;
Jemaah Islamiyah;1993-00-00;;1993;;;;;
;;;;;;;;
Francisco Xavier do Amaral;03/12/1937;06/03/2012;1937;12;3;2012;3;6
;;;;;;;;
Abdurrahman Wahid;07/09/1940;30/12/2009;1940;9;7;2009;12;30
;;;;;;;;
Tunku Abdul Rahman;08/02/1903;06/12/1990;1903;2;8;1990;12;6
;;;;;;;;
Muhaimin Iskandar;24/09/1966;;1966;9;24;;;
;;;;;;;;
Khofifah Indar Parawansa;19/05/1965;;1965;5;19;;;
;;;;;;;;
Fadli Zon;01/06/1971;;1971;6;1;;;
;;;;;;;;
Idham Chalid;27/08/1921;11/07/2010;1921;8;27;2010;7;11
;;;;;;;;
Susilo Bambang Yudhoyono;09/09/1949;;1949;9;9;;;
;;;;;;;;
Soekarno;06/06/1901;21/06/1970;1901;6;6;1970;6;21
;;;;;;;;
Prabowo Subianto;17/10/1951;;1951;10;17;;;
;;;;;;;;
Sutiyoso;06/12/1944;;1944;12;6;;;
;;;;;;;;
Jerry Sambuaga;02/07/1985;;1985;7;2;;;
;;;;;;;;
Teuku Umar Ali;16/10/1930;24/03/1992;1930;10;16;1992;3;24
;;;;;;;;
Jusuf Kalla;15/05/1942;;1942;5;15;;;
;;;;;;;;
Emil Salim;08/06/1930;;1930;6;8;;;
;;;;;;;;
Sanusi Hardjadinata;24/06/1914;12/12/1995;1914;6;24;1995;12;12
;;;;;;;;
Probosutedjo;01/05/1930;26/03/2018;1930;5;1;2018;3;26
;;;;;;;;
Luhut Binsar Pandjaitan;28/09/1947;;1947;9;28;;;
;;;;;;;;
Titiek Soeharto;14/04/1959;;1959;4;14;;;
;;;;;;;;
Fahmi Idris;20/09/1943;22/05/2022;1943;9;20;2022;5;22
;;;;;;;;
Ali Sastroamidjojo;21/05/1903;13/03/1975;1903;5;21;1975;3;13
;;;;;;;;
Mohammad Zamroni;10/08/1935;05/02/1996;1935;8;10;1996;2;5
;;;;;;;;
Angkatan Udara Kerajaan Thai;02/11/1913;;1913;11;2;;;
;;;;;;;;
Tentara Nasional Indonesia Angkatan Laut;10/09/1945;;1945;9;10;;;
;;;;;;;;
Pusat Kesehatan Angkatan Darat;26/10/1945;;1945;10;26;;;
;;;;;;;;
Korps Brigade Mobil;14/11/1945;;1945;11;14;;;
;;;;;;;;
Tentara Nasional Indonesia Angkatan Darat;15/12/1945;;1945;12;15;;;
;;;;;;;;
Komando Daerah Militer II/Sriwijaya;01/01/1946;;1946;1;1;;;
;;;;;;;;
Tentara Nasional Indonesia Angkatan Udara;09/04/1946;;1946;4;9;;;
;;;;;;;;
Komando Daerah Militer V/Brawijaya;17/12/1948;;1948;12;17;;;
;;;;;;;;
Komando Daerah Militer I/Bukit Barisan;20/06/1950;;1950;6;20;;;
;;;;;;;;
Akademi Angkatan Laut;10/10/1951;;1951;10;10;;;
;;;;;;;;
Komando Daerah Militer XIV/Hasanuddin;01/06/1957;;1957;6;1;;;
;;;;;;;;
Akademi Militer;11/11/1957;;1957;11;11;;;
;;;;;;;;
Batalyon Infanteri 711;16/04/1962;;1962;4;16;;;
;;;;;;;;
Komando Daerah Militer XVII/Cenderawasih;17/05/1963;;1963;5;17;;;
;;;;;;;;
Badan Pembinaan Hukum Tentara Nasional Indonesia;03/12/1975;;1975;12;3;;;
;;;;;;;;
Pembela Tanah Air;03/10/1943;19/08/1945;1943;10;3;1945;8;19
;;;;;;;;
Komando Daerah Militer Iskandar Muda;22/12/1956;;1956;12;22;;;
;;;;;;;;
Angkatan Bersenjata Pembebasan Nasional Timor Timur;20/08/1975;01/02/2001;1975;8;20;2001;2;1
;;;;;;;;
Sekolah Staf dan Komando Angkatan Darat;25/05/1951;;1951;5;25;;;
;;;;;;;;
Angkatan Bersenjata Republik Indonesia;05/10/1959;18/08/2000;1959;10;5;2000;8;18
;;;;;;;;
Tentara Nasional Indonesia;05/10/1945;;1945;10;5;;;
;;;;;;;;
Elang Mulia Lesmana;05/07/1978;12/05/1998;1978;7;5;1998;5-;2
;;;;;;;;
Amoroso Katamsi;21/10/1940;17/04/2018;1940;10;21;2018;4;17
;;;;;;;;
Rooslila Tahir;03/11/1927;17/05/2009;1927;11;3;2009;5;17
;;;;;;;;
Olivio Mendonca Moruk;06/09/1962;05/09/2000;1962;9;6;2000;9;5
;;;;;;;;
Ade Irawan;05/04/1937;17/01/2020;1937;4;5;2020;1;17
;;;;;;;;
Chris Pattikawa;01/10/1940;01/01/2020;1940;10;1;2020;1;1
;;;;;;;;
Ari Wibowo;26/12/1970;;1970;12;26;;;
;;;;;;;;
Cok Simbara;12/11/1953;;1953;11;12;;;
;;;;;;;;
Eno Sigit;10/04/1974;;1974;4;10;;;
;;;;;;;;
Sérgio Vieira de Mello;15/03/1948;19/08/2003;1948;3;15;2003;8;19
;;;;;;;;
Paramitha Rusady;11/08/1966;;1966;8;11;;;
;;;;;;;;
Alwin Arifin;29/08/1955;;1955;8;29;;;
;;;;;;;;
Rudy Wowor;13/12/1941;05/10/2018;1941;12;13;2018;10;5
;;;;;;;;
Arie Hanggara;21/12/1977;08/11/1984;1977;12;21;1984;11;8
;;;;;;;;
Sudono Salim;19/07/1916;10/06/2012;1916;7;19;2012;6;10
;;;;;;;;
Machica Mochtar;20/03/1970;;1970;3;20;;;
;;;;;;;;
Umar Kayam;30/04/1932;16/03/2002;1932;4;30;2002;3;16
;;;;;;;;
Erwin Gutawa;16/05/1962;;1962;5;16;;;
;;;;;;;;
Soekarno M. Noor;13/09/1931;26/07/1986;1931;9;13;1986;7;26
;;;;;;;;
Ari Sigit;03/11/1970;;1970;11;3;;;
;;;;;;;;
Soe Hok Gie;17/12/1942;16/12/1969;1942;12;17;1969;12;16
;;;;;;;;
Ade Irma Suryani Nasution;19/02/1960;06/10/1965;1960;2;19;1965;10;6
;;;;;;;;
Wawan Wanisar;13/12/1949;29/03/2021;1949;12;13;2021;3;29
;;;;;;;;
Laili Roesad;19/09/1916;;1916;9;19;;;
;;;;;;;;
Medina Latief Harjani;04/08/1970;;1970;8;4;;;
;;;;;;;;
Zairin Zain;13/09/1913;24/05/1974;1913;9;13;1974;5;24
;;;;;;;;
Emil Arifin;11/04/1959;;1959;4;11;;;
;;;;;;;;
Ilham Bintang;10/05/1955;;1955;5;10;;;
;;;;;;;;
Poppy Dharsono;08/07/1951;;1951;7;8;;;
;;;;;;;;
Johana Sunarti Nasution;01/11/1923;21/03/2010;1923;11;1;2010;3;21
;;;;;;;;
Hendriawan Sie;03/03/1978;12/05/1998;1978;3;3;1998;5;12
;;;;;;;;
Khaidir Anwar Sani;;;;;;;;
;;;;;;;;
Ratna Riantiarno;23/04/1952;;1952;4;23;;;
;;;;;;;;
Mieke Widjaja;17/03/1940;03/05/2022;1940;3;17;2022;5;3
;;;;;;;;
Hafidin Royan;28/09/1976;12/05/1998;1976;9;28;1998;5;12
;;;;;;;;
Siska Widowati;1958-00-00;;1958;;;;;
;;;;;;;;
Amran YS;;;;;;;;
;;;;;;;;
Bram Adrianto;11/02/1942;;1942;2;11;;;
;;;;;;;;
Dora Marie Sigar;21/09/1921;23/12/2008;1921;9;21;2008;12;23
;;;;;;;;
Halimah Agustina Kamil;24/03/1961;;1961;3;24;;;
;;;;;;;;
Kies Slamet;1941-00-00;;1941;;;;;
;;;;;;;;
Judilherry Justam;27/09/1948;;1948;9;27;;;
;;;;;;;;
Arief Budiman;03/01/1941;23/04/2020;1941;1;3;2020;4;23
;;;;;;;;
Arifin C. Noer;10/03/1941;28/05/1995;1941;3;10;1995;5;28
;;;;;;;;
Heri Hertanto;05/02/1977;12/05/1998;1977;2;5;1998;5;12
;;;;;;;;
Ikranagara;19/09/1943;06/03/2023;1943;9;19;2023;3;6
;;;;;;;;
Manai Sophiaan;05/09/1915;29/08/2003;1915;9;5;2003;8;29
;;;;;;;;
Maqdir Ismail;18/08/1954;;1954;8;18;;;
;;;;;;;;
Dali Tahir;25/03/1947;;1947;3;25;;;
;;;;;;;;
Ramon Papana;01/04/1957;;1957;4;1;;;
;;;;;;;;
Dipo Latief;09/01/1973;;1973;1;9;;;
;;;;;;;;
Atmono Suryo;;;;;;;;
;;;;;;;;
Didit Hediprasetyo;22/03/1984;;1984;3;22;;;
;;;;;;;;
Jajang C. Noer;28/06/1952;;1952;6;28;;;
;;;;;;;;
Anthony Salim;25/10/1949;;1949;10;25;;;
;;;;;;;;
Ruhut Sitompul;24/03/1954;;1954;3;24;;;
;;;;;;;;
