key,commander2

Pendudukan Indonesia atas Timor Timur,Francisco Xavier do Amaral

Pendudukan Indonesia atas Timor Timur,Nicolau dos Reis Lobato

Pendudukan Indonesia atas Timor Timur,Mari Alkatiri

Pendudukan Indonesia atas Timor Timur,Taur Matan Ruak

Pendudukan Indonesia atas Timor Timur,Nino Konis Santana

Pendudukan Indonesia atas Timor Timur,Ma'huno Bulerek Karathayano

Pendudukan Indonesia atas Timor Timur,Xanana Gusmão

Pendudukan Indonesia atas Timor Timur,Rogério Lobato

Pendudukan Indonesia atas Timor Timur,David Alex

Pendudukan Indonesia atas Timor Timur,Keri Laran Sabalae

Pemberontakan di Aceh,Hasan di Tiro

Pemberontakan di Aceh,Zaini Abdullah

Pemberontakan di Aceh,Abdullah Syafi'i

Pemberontakan di Aceh,Muzakir Manaf

Pemberontakan di Aceh,Sofyan Dawood

Pemberontakan di Aceh,Ayah Muni

Pemberontakan di Aceh,Ishak Daud

Krisis Timor Timur 1999,Wiranto

Krisis Timor Timur 1999,Eurico Guterres

Krisis Timor Timur 1999,Manuel de Sousa

Krisis Timor Timur 1999,Olivio Mendonca Moruk

Krisis Timor Timur 1999,Cancio Lopez de Carvalho

Operasi Trikora,C.J. van Westenbrugge

Operasi Trikora,W.A. van Heuven

Kerusuhan Poso,Adnan Arsal

Krisis sandera Mapenduma,Kelly Kwalik

Konflik Papua,Sekarang

Konflik Papua,Jacob Prai

Konflik Papua,Benny Wenda

Konflik Papua,Mathias Wenda

Konflik Papua,Jacob Rumbiak

Konflik Papua,Egianus Kogoya

Konflik Papua,Sebby Sambom

Konflik Papua,Goliath Tabuni

Konflik Papua,Kelly Kwalik 

Konflik Papua,Joni Botak

Serangan ke Limbang,Salleh Bin Sambas

Invasi Indonesia ke Timor Timur,Francisco Xavier do Amaral

Invasi Indonesia ke Timor Timur,Nicolau dos Reis Lobato

Operasi militer Indonesia di Aceh 1990-1998,Hasan Di Tiro

Operasi militer Indonesia di Aceh 1990-1998,Abdullah Syafi'i

Konfrontasi Indonesia–Malaysia,Soekarno

Konfrontasi Indonesia–Malaysia,Omar Dhani

Konfrontasi Indonesia–Malaysia,Ahmad Yani

Konfrontasi Indonesia–Malaysia,Eddy Martadinata

Konfrontasi Indonesia–Malaysia,Pranoto Reksosamudro

Konfrontasi Indonesia–Malaysia,Soeharto

Konfrontasi Indonesia–Malaysia,D. N. Aidit

Konfrontasi Indonesia–Malaysia,Bong Kee Chok

Konfrontasi Indonesia–Malaysia,A. M. Azahari

Konfrontasi Indonesia–Malaysia,Yassin Affandi

