key,combatant1

Pendudukan Indonesia di Timor Timur,Indonesia

Pendudukan Indonesia di Timor Timur,Amerika Serikat

Pendudukan Indonesia di Timor Timur,Australia

Pendudukan Indonesia di Timor Timur,Britania Raya

Pendudukan Indonesia di Timor Timur,Kanada

Pendudukan Indonesia di Timor Timur,"Jepang"

Pendudukan Indonesia di Timor Timur,"Malaysia"

Pemberontakan di Aceh,Indonesia

Pemberontakan di Aceh,Amerika Serikat

Konflik Sambas,Suku Melayu

Konflik Sambas,Suku Dayak

Pertempuran Sungei Koemba,Australia

Krisis Timor Timur 1999,Timor Leste

Krisis Timor Timur 1999,INTERFET

Krisis Timor Timur 1999,UNTAET

Krisis Timor Timur 1999,Australia

Krisis Timor Timur 1999,Selandia Baru

Krisis Timor Timur 1999,Thailand

Krisis Timor Timur 1999,Amerika Serikat

Krisis Timor Timur 1999,Argentina

Krisis Timor Timur 1999,Austria

Krisis Timor Timur 1999,Bangladesh

Krisis Timor Timur 1999,Benin

Krisis Timor Timur 1999,Bolivia

Krisis Timor Timur 1999,Bosnia dan Herzegovina

Krisis Timor Timur 1999,Brasil

Krisis Timor Timur 1999,Britania Raya

Krisis Timor Timur 1999,Bulgaria

Krisis Timor Timur 1999,Chili

Krisis Timor Timur 1999,Denmark

Krisis Timor Timur 1999,Fiji

Krisis Timor Timur 1999,Filipina

Krisis Timor Timur 1999,Gambia

Krisis Timor Timur 1999,Ghana

Krisis Timor Timur 1999,Irlandia

Krisis Timor Timur 1999,Israel

Krisis Timor Timur 1999,Italia

Krisis Timor Timur 1999,Jepang

Krisis Timor Timur 1999,Jerman

Krisis Timor Timur 1999,Kanada

Krisis Timor Timur 1999,Kenya

Krisis Timor Timur 1999,Korea Selatan

Krisis Timor Timur 1999,Kroasia

Krisis Timor Timur 1999,Malaysia

Krisis Timor Timur 1999,Meksiko

Krisis Timor Timur 1999,Mesir

Krisis Timor Timur 1999,Mozambik

Krisis Timor Timur 1999,Namibia

Krisis Timor Timur 1999,Nepal

Krisis Timor Timur 1999,Niger

Krisis Timor Timur 1999,Nigeria

Krisis Timor Timur 1999,Norwegia

Krisis Timor Timur 1999,Pakistan

Krisis Timor Timur 1999,Peru

Krisis Timor Timur 1999,Portugal

Krisis Timor Timur 1999,Prancis

Krisis Timor Timur 1999,Rusia

Krisis Timor Timur 1999,Samoa

Krisis Timor Timur 1999,Senegal

Krisis Timor Timur 1999,Serbia dan Montenegro

Krisis Timor Timur 1999,Singapura

Krisis Timor Timur 1999,Slowakia

Krisis Timor Timur 1999,Slovenia

Krisis Timor Timur 1999,Spanyol

Krisis Timor Timur 1999,Sri Lanka

Krisis Timor Timur 1999,Swedia

Krisis Timor Timur 1999,Tajikistan

Krisis Timor Timur 1999,Tiongkok

Krisis Timor Timur 1999,Turki

Krisis Timor Timur 1999,Ukraina

Krisis Timor Timur 1999,Uruguay

Krisis Timor Timur 1999,Yordania

Krisis Timor Timur 1999,Vanuatu

Krisis Timor Timur 1999,Zambia

Krisis Timor Timur 1999,Zimbabwe

Operasi Trikora,Indonesia

Operasi Trikora,Uni Soviet

Pertempuran Laut Aru, Indonesia

Kerusuhan Poso,TNI

Kerusuhan Poso,POLRI

Kerusuhan Poso,Pemerintah Provinsi

Kerusuhan Poso,Kodam Wirabuana

Kerusuhan Poso,Korem 132 Tadulako

Kerusuhan Poso,Polda Sulawesi Tengah

Kerusuhan Poso,Pemerintah Kabupaten

Kerusuhan Poso,Batalyon Infanteri 711

Kerusuhan Poso,Polres Poso

Krisis sandera Mapenduma,Indonesia

Konflik Papua,Indonesia

Konflik Papua,Papua Nugini

Konflik Papua,Amerika Serikat

Konflik Papua,Australia

Konflik Papua,Uni Soviet

Konflik Papua,Fiji

Serangan ke Limbang,Britania Raya

Pendaratan di Labis,Malaysia

Pendaratan di Labis,Britania Raya

Pendaratan di Labis,Selandia Baru

Operasi Jayapura 1976,Indonesia

Invasi Indonesia ke Timor Timur,Indonesia

Invasi Indonesia ke Timor Timur,ABRI

Invasi Indonesia ke Timor Timur,PSTT

Invasi Indonesia ke Timor Timur,UDT

Invasi Indonesia ke Timor Timur,APODETI

Invasi Indonesia ke Timor Timur,Amerika Serikat

Invasi Indonesia ke Timor Timur,Arab Saudi

Invasi Indonesia ke Timor Timur,Australia

Invasi Indonesia ke Timor Timur,Korea Selatan

Invasi Indonesia ke Timor Timur,Taiwan

Operasi militer Indonesia di Aceh 1990-1998,Indonesia

Operasi militer Indonesia di Aceh 1990-1998,Angkatan Bersenjata Republik Indonesia (ABRI)

Operasi militer Indonesia di Aceh 1990-1998,Amerika Serikat

Konfrontasi Indonesia–Malaysia,PBB

Konfrontasi Indonesia–Malaysia,Malaysia

Konfrontasi Indonesia–Malaysia,Singapura

Konfrontasi Indonesia–Malaysia,Britania Raya

Konfrontasi Indonesia–Malaysia,Australia

Konfrontasi Indonesia–Malaysia,Selandia Baru

Konfrontasi Indonesia–Malaysia,Brunei

Konfrontasi Indonesia–Malaysia,Kanada

Konfrontasi Indonesia–Malaysia,Amerika Serikat

