article_title,honorific-prefix,name,honorific-suffix,image,caption,imagesize,country,order,term_start,term_end,deputy,predecessor,successor,birth_date,birth_place,occupation,religion,spouse,party,successor3,order3,term_start4,successor4,signature,predecessor4,predecessor2,primeminister3,term_start2,governor_general,term_end3,term_start3,term_end2,deputy2,parliament4,successor2,constituency_MP4,1,order2,predecessor3,majority4,monarch
John Howard,The Honourable,John Winston Howard,,Howard John BANNER.jpg,,,Australia,"Perdana Menteri Australia ke-25Pemilu: 1987, 1996, 2007",Maret 1996,3 Desember 2007,Tim Fischer (1996-99)John Anderson (1999-2005)Mark Vaile (2005-2007),Paul Keating,Kevin Rudd,1939 7 26 y,"Australia Sydney, Australia",,,Janette Howard,Liberal,,,,,,,,,,,,,,,,,,,,,,
Helen Clark,The Right Honourable,Helen Elizabeth Clark,"MP, SSI",Prime Minister Helen Clark1.jpg,,225px,,Perdana Menteri New Zealand ke-37,5 Desember 1999,19 November 2008,Jim AndertonMichael Cullen,Jenny Shipley,John Key,1950 2 26 y,"Hamilton, Selandia Baru",Politikus,Agnostikhttp://www.nzherald.co.nz/section/story.cfm?c_id=1&objectid=3554978  New Zealand Herald  16 March 2004  Insults get personal between Clark and Brash  2007-07-08  2012-11-03  https://web.archive.org/web/20121103025405/http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=3554978  no,Peter Davis,Buruh,Don McKinnon,Wakil Perdana Menteri New Zealand ke-11,28 November 1981,,,Warren Freer,Mike Moore,Geoffrey PalmerMike Moore,1 Desember 1993,Michael Hardie BoysSilvia CartwrightAnand Satyanand,2 November 1990,8 Agustus 1989,5 Desember 1999,Michael Cullen,Selandia Baru,Jenny Shipley,Mount Albert,,Pemimpin Oposisi ke-27,Geoffrey Palmer,"14,749http://2005.electionresults.govt.nz/electorate-27.html  Elections NZ 2005: Official Count Results – Mt Albert  2009-01-08  2007-07-31  https://web.archive.org/web/20070731071719/http://2005.electionresults.govt.nz/electorate-27.html  yes",Elizabeth II
