article_title,name,image,dateStart,dateEnd
Sutan Sjahrir,Sutan Sjahrir,Soetan Sjahrir 1948.jpg,1909-03-05,1966-04-09
Djoeanda Kartawidjaja,Djoeanda Kartawidjaja,Djuanda Kartawidjaja.jpg,1911-01-14,1963-11-07
Burhanuddin Harahap,,Burhanuddin Harahap.jpg,1917-02-12,1987-06-14
Abdoel Halim,Abdoel Halim,Abdul Halim Prime Minister.jpg,1911-12-27,1987-07-04
Wilopo,Wilopo,WIlopo.jpg,1909-10-21,1981-01-20
