article_title,dateStart,dateEnd,children,parents
Francisco Xavier do Amaral,1937-12-03,2012-03-06,,
Abdurrahman Wahid,1940-09-07,2009-12-30,"Alissa Qotrunnada
Zannuba Ariffah Chafsoh
Anita Hayatunnufus
Inayah Wulandari","Wahid Hasyim
Siti Sholehah"
