article_title,image,dateStart,dateEnd
Angkatan Bersenjata Republik Indonesia,Logo ABRI.svg,1959-10-05,2000-08-18
Tentara Nasional Indonesia,Insignia of the Indonesian National Armed Forces.svg,1945-10-05,
