article_title,name,image,birth_date,death_date,children,relations
I Gusti Ngurah Rai,I Gusti Ngurah Rai,Lukisan I Gusti Ngurah.jpg,1917-01-30,1946-11-20,"I Gusti Ngurah Gede Yudana
I Gusti Ngurah Tantra
I Gusti Ngurah Alit Yudha",I Gusti Ayu Agung Inda Trimafo Yudha
Abdullah Syafi'i (GAM),Abdullah Syafi'i,,1947-10-12,2002-01-22,,
Soedirman,Soedirman,Sudirman.jpg,1916-01-24,1950-01-29,,
