article_title,name,dateStart,dateEnd
Partai Katolik (Indonesia),Partai Katolik,1918-00-00,1973-00-00
Partai Hati Nurani Rakyat,Partai Hati Nurani Rakyat,2006-12-21,
Partai Berkarya,Partai Beringin Karya,2016-07-15,
Partai Karya Peduli Bangsa,Partai Karya Peduli Bangsa,2002-09-09,
