article_title,alma_mater
Muhammad Alwi Dahlan,Universitas Stanford
Muhammad Alwi Dahlan,Universitas Illinois Urbana-Champaign
Wismoyo Arismunandar,Akademi Militer
Alirahman,Institut Pertanian Bogor
Awaloedin Djamin,PTIK Jakarta
Awaloedin Djamin,Universitas Pittsburgh
Awaloedin Djamin,Universitas California Selatan
Pramono Edhie Wibowo,Akademi Tentara Nasional Indonesia
Pramono Edhie Wibowo,Seskoad
Pramono Edhie Wibowo,Sesko TNI
Radius Prawiro,Universitas Indonesia
Abdul Latief (pengusaha),Akademi Pimpinan Perusahaan Jakarta
Abdul Latief (pengusaha),Universitas Krisnadwipayana
Haryono Suyono,SMA Negeri 4 Yogyakarta
Haryono Suyono,Universitas Gadjah Mada
Haryono Suyono,Politeknik Statistika STIS
Haryono Suyono,University of Chicago
Bustanil Arifin,Universitas Padjajaran
Adrianus Mooy,Universitas Gadjah Mada
Adrianus Mooy,Universitas Wisconsin–Madison
Fuad Bawazier,Universitas Gadjah Mada
Fuad Bawazier,William College
Fuad Bawazier,University of Maryland
Firman Santyabudi,Akademi Kepolisian
S.K. Trimurti,Universitas Indonesia
Lodewijk Freidrich Paulus,Akademi Tentara Nasional Indonesia
Soerjadi Soerjadarma,KMA Breda
Haryati Soebadio,Universitas Indonesia
Ida Bagus Mantra,Universitas Visva-Bharati
Yogi Supardi,Akademi Militer
Yogi Supardi,Angkatan I
Hadi Prabowo,Universitas Diponegoro
Hadi Prabowo,Universitas Islam Indonesia
Hadi Prabowo,Institut Pemerintahan Dalam Negeri
A.M. Hendropriyono,Akademi Militer
Wiranto,Akademi Militer
Wiranto,Universitas Terbuka
Wiranto,Perguruan Tinggi Ilmu Hukum Militer
Wiranto,Universitas Negeri Jakarta
Saleh Afiff,Universitas Indonesia
Sayidiman Suryohadiprojo,Akademi Militer
Sayidiman Suryohadiprojo,Angkatan I
Poniman,PETA
I Gusti Ketut Pudja,Rechtshoogeschool te Batavia
Rusli Halil,Universitas Nasional
Soesilo Soedarman,Akademi Militer
Soesilo Soedarman,Angkatan I
Widodo A. S.,Akademi Angkatan Laut
Setya Novanto,Universitas Katolik Widya Mandala Surabaya
Setya Novanto,Universitas Trisakti
Sugiono (militer),Akademi Militer
Subiakto Tjakrawerdaya,Universitas Kristen Indonesia
Nugroho Notosusanto,Universitas Indonesia
