article_title,name,image,caption,title_orig,translator,author,country,language,series,genre,published_in,publication_type,publisher,media_type,pub_date,english_pub_date,preceded_by,followed_by,article_title
Langit Makin Mendung,Langit Makin Mendung,,,,,Kipandjikusmin,Indonesia,Indonesia,,,Sastra,,,Majalah,,,,,Langit Makin Mendung
