article_title,name,native_name,native_name_a,native_name_r,type,seal,seal_size,seal_caption,seal_alt,logo,logo_size,logo_caption,logo_alt,image,image_size,image_caption,image_alt,formed,preceding1,preceding2,dissolved,superseding1,superseding2,agency_type,jurisdiction,status,headquarters,coordinates,motto,budget,minister_type,minister1_name,parent_department,parent_agency,parent_agency_type,child1_agency,child2_agency,keydocument1,agency_id,map,map_size,map_caption,map_alt,footnotes,embed,article_title
Komando Operasi Pemulihan Keamanan dan Ketertiban,Komando Operasi Pemulihan Keamanan dan Ketertiban,Operational Command for the Restoration of Security and Order,,,,,,,,,,,,,,,,,,,,Badan Koordinasi Bantuan Pemantapan Stabilitas Nasional,,,Indonesia,Dibubarkan,,,,,Pangkopkamtib,,,,,,,,,,,,,,,Komando Operasi Pemulihan Keamanan dan Ketertiban
