article_title,nama,singkatan,gambar,didirikan,nomenklatur_sebelumnya,nomenklatur_pengganti,dasar,slogan,pegawai,anggaran,koordinasi,kepala,nama_kepala,wakil_kepala,nama_wakil_kepala,sekretaris_utama,deputi1,nama_deputi1,deputi2,nama_deputi2,deputi3,nama_deputi3,deputi4,nama_deputi4,deputi5,nama_deputi5,deputi6,nama_deputi6,deputi7,nama_deputi7,deputi8,nama_deputi8,deputi9,nama_deputi9,deputi10,nama_deputi10,inspektur,nama_inspektur,alamat,situs web,dibubarkan,bidang_tugas,catatan,article_title
Badan Kependudukan dan Keluarga Berencana Nasional,Badan Kependudukan dan Keluarga Berencana Nasional,BKKBN,250px,,Badan Koordinasi Keluarga Berencana Nasional,,Peraturan Presiden Nomor 62 Tahun 2010,Dua Anak Lebih Sehat (primer)Berencana itu Keren (sekunder),,,Menteri Kesehatan,Kepala,"Dr.(HC). dr. Hasto Wardoyo, Sp.OG.",,,"Drs. Tavip Agus Rayanto, M.Si.","Deputi Bidang Advokasi, Penggerakan dan Informasi","Sukaryo Teguh Santoso, M.Pd",Deputi Bidang Keluarga Sejahtera dan Pemberdayaan Keluarga,"Nopian Andusti, SE, MT.",Deputi Keluarga Berencana dan Kesehatan Reproduksi,"dr. Eni Gustina, MPH.",Deputi Bidang Pengendalian Penduduk,"Dr. Bonivasius Prasetya Ichtiarto, S.Si, M.Eng.","Deputi Bidang Pelatihan, Penelitian dan Pengembangan","Prof. drh. Muhammad Rizal Martua Damanik, MRepSc, Ph.D.",,,,,,,,,,,Inspektur Utama,"Ari Dwikora Tono, Ak, M.Ec.Dev.","Jalan Permata No. 1, Kompleks Bandara Halim PerdanakusumaJakarta TimurDKI Jakarta, Indonesia","http://www.bkkbn.go.id ; fb, twitter, Ig    = @Bkkbnofficial",,,,Badan Kependudukan dan Keluarga Berencana Nasional
Badan Pembinaan Pendidikan Pelaksanaan Pedoman Penghayatan dan Pengamalan Pancasila,Badan Pembinaan Pendidikan Pelaksanaan Pedoman Penghayatan dan Pengamalan Pancasila,BP7,,,,,Keputusan Presiden Nomor 10 Tahun 1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gedung BP7, Jalan Pejambon 2, Senen, Senen, Jakarta Pusat",,,,,Badan Pembinaan Pendidikan Pelaksanaan Pedoman Penghayatan dan Pengamalan Pancasila
