article_title,Grand Prix,flag,Location,Course_mi,Course_km,Race_No,Season_No,Date,Year,Image,Pole_Rider_500,Pole_Rider_500_Country,Pole_Time_500,Fast_Rider_500,Fast_Rider_500_Country,Fast_Time_500,First_Rider_500,First_Rider_500_Country,Second_Rider_500,Second_Rider_500_Country,Third_Rider_500,Third_Rider_500_Country,Pole_Rider_250,Pole_Rider_250_Country,Pole_Time_250,Fast_Rider_250,Fast_Rider_250_Country,Fast_Time_250,First_Rider_250,First_Rider_250_Country,Second_Rider_250,Second_Rider_250_Country,Third_Rider_250,Third_Rider_250_Country,Pole_Rider_125,Pole_Rider_125_Country,Pole_Time_125,Fast_Rider_125,Fast_Rider_125_Country,Fast_Time_125,First_Rider_125,First_Rider_125_Country,Second_Rider_125,Second_Rider_125_Country,Third_Rider_125,Third_Rider_125_Country,1,article_title
Grand Prix sepeda motor Indonesia 1997,Indonesian,Indonesia,Sentul,2.56,4.12,14,15,28 September,1997,Sental International Circuit.svg,Mick Doohan,Australia,1:25.474,Tadayuki Okada,Japan,1:26.141,Tadayuki Okada,Japan,Mick Doohan,Australia,Àlex Crivillé,Spain,Max Biaggi,Italy,1:27.438,Max Biaggi,Italy,1:28.256,Max Biaggi,Italy,Tohru Ukawa,Japan,Olivier Jacque,France,Jorge Martínez,Spain,1:34.393,Valentino Rossi,Italy,1:34.044,Valentino Rossi,Italy,Kazuto Sakata,Japan,Jorge Martínez,Spain,,Grand Prix sepeda motor Indonesia 1997
Grand Prix sepeda motor Indonesia 1996,Indonesia,Indonesia,Sirkuit Sentul,2.56,4.12,2,15,7 April,1996,Sental International Circuit.svg,Mick Doohan,Australia,1:26.883,Mick Doohan,Australia,1:27.139,Mick Doohan,Australia,Alex Barros,Brazil,Loris Capirossi,Italy,Tetsuya Harada,Japan,1:29.257,Tetsuya Harada,Japan,1:29.696,Tetsuya Harada,Japan,Max Biaggi,Italy,Ralf Waldmann,Germany,Haruchika Aoki,Japan,1:35.138,Haruchika Aoki,Japan,1:35.068,Masaki Tokudome,Japan,Haruchika Aoki,Japan,Peter Öttl,Germany,,Grand Prix sepeda motor Indonesia 1996
