article_title,number,organ,image,caption,date,year,meeting,code,document,subject,for,against,abstention,result,article_title
Resolusi 1272 Dewan Keamanan Perserikatan Bangsa-Bangsa,1272,SC,Flag of East Timor.svg,Flag of East Timor,25 Oktober,1999,"4,057",S/RES/1272,https://undocs.org/S/RES/1272(1999),Situasi di Timor,15,0,0,Disetujui,Resolusi 1272 Dewan Keamanan Perserikatan Bangsa-Bangsa
Resolusi 384 Dewan Keamanan Perserikatan Bangsa-Bangsa,384,SC,LocationEastTimorNamed.svg,Timor Timur,22 Desember,1975,1.869,S/RES/384,http://daccess-dds-ny.un.org/doc/RESOLUTION/GEN/NR0/782/32/IMG/NR078232.pdf?OpenElement,Situasi di Timor Timur,15,0,0,Diadopsi,Resolusi 384 Dewan Keamanan Perserikatan Bangsa-Bangsa
