Title,Properties
Soedharmono,"{'honorific-prefix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'name': 'Soedharmono', 'honorific-suffix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'image': 'Sudharmono Official Portrait.jpg', 'caption': 'Sudharmono', 'office': 'Wakil Presiden Indonesia ke-5', 'term_start': '11 Maret 1988', 'term_end': '11 Maret 1993', 'president': 'Soeharto', 'predecessor': 'Umar Wirahadikusumah', 'successor': 'Try Sutrisno', 'office2': 'Menteri Sekretaris Negara Indonesia ke-4', 'term_start2': '8 April 1972', 'term_end2': '21 Maret 1988', 'president2': 'Soeharto', 'predecessor2': 'Alamsyah Ratu Perwiranegara', 'successor2': 'Moerdiono', 'office3': 'Menteri Dalam Negeri Indonesia ke-18', 'term_start3': '1 Oktober 1982', 'term_end3': '19 Maret 1983', 'president3': 'Soeharto', 'predecessor3': 'Amir Machmud', 'successor3': 'Soepardjo Rustam', 'office4': 'Ketua Umum Partai Golongan Karya', 'order4': 'ke-4', 'term_start4': '1983', 'term_end4': '1988', 'predecessor4': 'Amir Murtono', 'successor4': 'Wahono', 'birth_place': 'Cerme, Gresik, Jawa Timur, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'party': 'Partai Golongan Karya', 'spouse': 'Emma Norma', 'mother': 'Raden Nganten Sukarsi', 'father': 'Soepijo Wirodiredjo', 'profession': 'Militer', 'religion': 'Islam', 'signature': 'Sign Sudharmono.png', '1': 'footnotes', 'serviceyears': '1945–1968', 'servicenumber': '16078', 'rank': '25px Letnan Jenderal', 'branch': '25px TNI Angkatan Darat'}"
Wiranto,"{'name': 'Wiranto', 'image': 'File:Wiranto2.jpg', 'office': 'Ketua Dewan Pertimbangan Presiden Republik Indonesia', 'order': 'ke-5', 'term_start': '13 Desember 2019', 'president': 'Joko Widodo', 'predecessor': 'Sri Adiningsih', 'office1': 'Daftar Menteri Koordinator Bidang Politik, Hukum, dan Keamanan IndonesiaMenteri Koordinator Bidang Politik, Hukum, dan Keamanan Indonesia', 'order1': 'ke-6', 'term_start1': '27 Juli 2016', 'term_end1': '20 Oktober 2019', 'president1': 'Joko Widodo', 'predecessor1': 'Luhut Binsar Pandjaitan', 'successor1': 'Mahfud MD', 'term_start2': '29 Oktober 1999', 'term_end2': '15 Februari 2000 < br > (sebagai Menteri Negara Koordinator Bidang Politik dan Keamanan)', 'president2': 'Abdurahman Wahid', 'predecessor2': 'Feisal Tanjung', 'successor2': 'Soerjadi Soedirdja (sebagai Menteri Koordinator Bidang Politik, Sosial, dan Keamanan)', 'office3': 'Menteri Pertahanan dan Keamanan Indonesia', 'order3': 'ke-19', 'term_start3': '14 Maret 1998', 'term_end3': '20 Oktober 1999', 'president3': 'Soeharto < br > B. J. Habibie', 'predecessor3': 'Edi Sudrajat', 'successor3': 'Juwono Sudarsono', 'office4': 'Panglima Angkatan Bersenjata Republik Indonesia', 'order4': 'ke-12', 'term_start4': '20 Desember 1997', 'term_end4': '26 Oktober 1999', 'president4': 'Soeharto < br/ > B. J. Habibie < br/ > Abdurrahman Wahid', 'predecessor4': 'Feisal Tanjung', 'successor4': 'Widodo A. S.', 'office5': 'Kepala Staf TNI Angkatan Darat', 'order5': 'ke-19', 'term_start5': '13 Juni 1997', 'term_end5': '16 Februari 1998', 'predecessor5': 'R. Hartono', 'successor5': 'Subagyo Hadi Siswoyo', 'office6': 'Ketua Umum PBSIKetua Umum Persatuan Bulu Tangkis Seluruh Indonesia', 'order6': 'ke-13', 'term_start6': '31 Oktober 2016', 'term_end6': '6 November 2020', 'predecessor6': 'Gita Wirjawan', 'successor6': 'Agung Firman Sampurna', 'office7': 'Ketua Umum Partai Hati Nurani Rakyat', 'term_start7': '21 Desember 2006', 'term_end7': '21 Desember 2016', 'predecessor7': 'Tidak ada, jabatan baru', 'successor7': 'Oesman Sapta Odang', 'birth_place': 'Yogyakarta, Indonesia', 'serviceyears': '1968–1998 < ref >  < /ref >', 'servicenumber': '22166', 'rank': '25px|  Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'battles': 'Operasi Seroja', 'nationality': 'Indonesia', 'otherparty': '(1999–2006) < br / > (2006–2019)', 'father': 'RS Wirowijoto', 'mother': 'Suwarsijah', 'spouse': 'Rugaiya Usman', 'residence': 'Jl. Palem Kartika No. 21, Bambu Apus, Cipayung, Jakarta < ref >  < /ref >', 'website': 'www.wiranto.com www.facebook.com/wiranto.official twitter.com/wiranto1947'}"
Harmoko,"{'image': 'Harmoko, The DPR-RI Stance on the Reform Process and the Resignation of President Soeharto, p39.jpg', 'caption': 'Potret sebagai Ketua Dewan Perwakilan Rakyat, 1997', 'office1': 'Ketua Majelis Permusyawaratan Rakyat Republik Indonesia', 'order1': 'ke-10', 'term_start1': '1 Oktober 1997', 'term_end1': '30 September 1999', 'president1': 'Soeharto < br > Bacharuddin Jusuf Habibie', 'predecessor1': 'Wahono', 'successor1': 'Amien Rais', 'office2': 'Ketua Dewan Perwakilan Rakyat Republik Indonesia', 'order2': 'ke-12', 'term_start2': '1 Oktober 1997', 'term_end2': '30 September 1999', 'president2': 'Soeharto < br > Bacharuddin Jusuf Habibie', 'predecessor2': 'Wahono', 'successor2': 'Akbar Tandjung', 'office3': 'Menteri Penerangan Indonesia', 'order3': 'ke-22', 'term_start3': '19 Maret 1983', 'term_end3': '16 Maret 1997', 'president3': 'Soeharto', 'predecessor3': 'Ali Moertopo', 'successor3': 'R. Hartono', 'office4': 'Ketua Umum Golongan Karya', 'order4': 'ke-6', 'term_start4': '24 Oktober 1993', 'term_end4': '11 Juli 1998', 'predecessor4': 'Wahono', 'successor4': 'Akbar Tandjung', 'birth_place': 'Patianrowo, Nganjuk, Jawa Timur, Hindia Belanda', 'death_place': 'Rumah Sakit Pusat Angkatan Darat Gatot Soebroto, Jakarta, Indonesia', 'death_cause': 'COVID-19', 'resting_place': 'Taman Makam Pahlawan Kalibata, Jakarta < ref > https://news.detik.com/berita/d-5631079/harmoko-menteri-penerangan-era-soeharto-meninggal-dunia ? < /ref >', 'party': 'Partai Golongan Karya 1977 - 2007', 'otherparty': 'Partai Kerakyatan Nasional (2007–2008)', 'father': 'Asmoprawiro < ref >  < /ref >', 'mother': 'Soeriptinah', 'residence': 'Jalan Taman Patra XII, Setiabudi, Jakarta', 'profession': 'Wartawan  < br/ >  Politikus', 'religion': 'Islam'}"
Tommy Soeharto,"{'name': 'Tommy Soeharto', 'image': 'Tommy Suharto Central Aceh.png', 'office': 'Ketua Umum Partai Berkarya ke-2', 'term_start': '11 Maret 2018', 'term_end': '12 Juli 2020', 'predecessor': 'Neneng A. Tuty', 'successor': 'Muchdi Purwoprandjono', 'office2': 'Anggota MPR RI Fraksi Golkar', 'term_start2': '1 Oktober 1992', 'term_end2': '21 Mei 1998', 'birth_name': 'Hutomo Mandala Putra', 'birth_place': 'Jakarta, Indonesia', 'party': 'Partai Swara Rakyat Indonesia (2022–sekarang)', 'father': 'Soeharto', 'mother': 'Siti Hartinah', 'nationality': 'Indonesia', 'occupation': 'Politisi', 'known_for': 'BLBI', 'net_worth': 'US$670 juta (2019) < ref name=Merdeka >  < /ref >'}"
Radius Prawiro,"{'image': 'Radius Prawiro, Gubernur Bank Indonesia.jpg', 'caption': 'Potret resmi, 1966', 'office': 'Menteri Koordinator Bidang Ekonomi, Keuangan, Industri dan Pengawasan Pembangunan Indonesia', 'order': 'ke-4', 'term_start': '23 Maret 1988', 'term_end': '17 Maret 1993', 'president': 'Soeharto', 'predecessor': 'Ali Wardhana', 'successor': 'Saleh Afiff', 'office1': 'Menteri Keuangan Indonesia', 'order1': 'ke-16', 'term_start1': '19 Maret 1983', 'term_end1': '21 Maret 1988', 'president1': 'Soeharto', 'predecessor1': 'Ali Wardhana', 'successor1': 'J.B. Sumarlin', 'office2': 'Menteri Perdagangan dan Koperasi Indonesia', 'order2': 'ke-20', 'term_start2': '28 Maret 1973', 'term_end2': '19 Maret 1983', 'president2': 'Soeharto', 'predecessor2': 'Sumitro Djojohadikusumo', 'successor2': 'Rachmat Saleh < br > Bustanil Arifin', 'office3': 'Gubernur Bank Indonesia', 'order3': 'ke-6', 'term_start3': '27 Maret 1966', 'term_end3': '5 April 1973', 'president3': 'Soekarno < br > Soeharto', 'predecessor3': 'T. Jusuf Muda Dalam', 'successor3': 'Rachmat Saleh', 'office4': 'Deputi Menteri Pemeriksa Keuangan Negara', 'term_start4': '17 Maret 1965', 'term_end4': '27 Maret 1966', 'president4': 'Soekarno', 'predecessor4': 'Tidak ada; jabatan baru', 'successor4': 'Tidak ada; jabatan dihapuskan', 'birth_place': 'Yogyakarta, Hindia Belanda', 'death_place': 'München, Jerman', 'nationality': 'Indonesia', 'spouse': 'Leoni Supit', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Ekonom, Politikus', 'religion': 'Kristen Protestan'}"
Ali Moertopo,"{'name': 'Ali Moertopo', 'image': 'Ali Moertopo closing Indonesian Film Festival, Festival Film Indonesia (1982), 1983, p67 (cropped).jpg', 'caption': 'Ali Moertopo di acara penutupan FFI 1982', 'office1': 'Menteri Penerangan Indonesia', 'order1': 'Ke-21', 'term_start1': '29 Maret 1978', 'term_end1': '19 Maret 1983', 'president1': 'Soeharto', 'predecessor1': 'Mashuri Saleh', 'successor1': 'Harmoko', 'birth_place': 'Cepu, Blora, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Wastoeti', 'children': 'Harris Ali Moerfi (l.1959-2010)  < br >  Lucky Ali Moerfiqin (l.1963)', 'residence': 'Jalan Raden Saleh, Jakarta Pusat.', 'alma_mater': 'Pendidikan militer tk. Bintara di Gombong, Kebumen', 'allegiance': 'Indonesia', 'branch': '25px TNI Angkatan Darat', 'serviceyears': '1945—1978', 'rank': '25px|  Letnan Jenderal TNI', 'unit': 'Infanteri', 'religion': 'Islam', 'signature': 'Sign Ali Moertopo.png', 'office2': 'Wakil Ketua Dewan Pertimbangan Agung', 'term_start2': '1983', 'term_end2': '15 Mei 1984', 'successor2': 'Makmun Murod', 'alongside2': 'Jailani Naro, Sapardjo, Sunawar Sukowati'}"
Probosutedjo,"{'name': 'Probosutedjo', 'birth_place': 'Kemusuk, Argomulyo, Sedayu, Keresidenan Yogyakarta, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'children': '6', 'party': 'PNI - Front Marhaenis (1999–2004)', 'otherparty': 'Golkar (sampai 1998)'}"
Arief Budiman,"{'name': 'Arief Budiman', 'residence': 'Salatiga', 'image': 'Arief budiman.jpg', 'imagesize': '220px', 'birth_name': 'Soe Hok Djin', 'birth_place': 'Jakarta, Hindia Belanda', 'death_place': 'Salatiga, Jawa Tengah, Indonesia', 'nationality': 'Indonesia', 'alma_mater': 'Universitas Indonesia', 'occupation': 'Guru Besar', 'known_for': 'Aktivis reformasi', 'religion': 'Islam', 'spouse': 'Leila Chairani Budiman', 'children': 'Adrian, Santi', 'parents': 'Soe Lie Piet', 'relations': 'Soe Hok Gie < br > (saudara)'}"
Sudono Salim,"{'name': 'Soedono Salim', 'image': 'Sudono-salim.jpg', 'caption': 'Foto portrait Soedono Salim', 'birth_name': 'Liem Sioe Liong', 'birth_place': 'Fuqing, Republik Tiongkok', 'death_place': 'Singapura', 'spouse': 'Lie Kim Nio (alias Lilani)', 'children': 'Albert Salim  < br/ >  Andree Halim  < br/ >  Anthony Salim  < br/ >  Mira Salim', 'occupation': 'Pengusaha', 'known_for': 'Pendiri Salim Group'}"
Ibnu Sutowo,"{'name': 'Ibnu Sutowo', 'image': 'Ibnu Sutowo - Saatnya Saya Bercerita (Sampul Buku).jpg', 'term_start': '28 Maret 1966', 'term_end': '25 Juli 1966', 'president': 'Soekarno', 'predecessor': 'Armunanto', 'successor': 'Slamet Bratanata', 'office3': 'Direktur Utama Pertamina', 'term_start3': '9 Oktober 1968', 'term_end3': '3 Maret 1976', 'predecessor3': 'Tidak diketahui', 'successor3': 'Piet Haryono', 'term_start2': '5 September 1955', 'term_end2': '2 Juli 1956', 'predecessor2': 'Kolonel Inf Bambang Utoyo', 'successor2': 'Letkol Inf Barlian', 'office4': 'Ketua Umum Palang Merah Indonesia', 'order4': 'Ke-9', 'term_start4': '1986', 'term_end4': '1992', 'predecessor4': 'Soeyoso Soemodimedjo', 'successor4': 'Siti Hardijanti Rukmana', 'birth_place': 'Yogyakarta, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': ""Zaleha binti Sjafe'ie"", 'children': 'Pontjo Sutowo dan 6 lainnya', 'serviceyears': '1946–1976', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Kesehatan (CKM)', 'profession': 'Tentara < br / > Dokter', 'religion': 'Islam'}"
Ismail Saleh,"{'image': 'Ismail Saleh.jpg', 'office': 'Menteri Kehakiman Indonesia', 'order': 'ke-19', 'term_start': '30 Mei 1984', 'term_end': '17 Maret 1993', 'president': 'Soeharto', 'predecessor': 'Ali Said', 'successor': 'Oetojo Oesman', 'office2': 'Jaksa Agung Republik Indonesia', 'order2': 'ke-10', 'term_start2': '18 Februari 1981', 'term_end2': '30 Mei 1984', 'president2': 'Soeharto', 'predecessor2': 'Ali Said', 'successor2': 'Hari Suharto', 'birth_place': 'Sukolilo, Pati, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'religion': 'Islam'}"
Ali Said,"{'honorific-prefix': 'Yang Mulia', 'name': 'Ali Said', 'image': 'Ali Said.png', 'caption': 'Potret Ali Said sebagai Ketua Mahkamah Agung', 'office': 'Ketua Mahkamah Agung Republik Indonesia', 'order': 'ke-7', 'term_start': '14 April 1984', 'term_end': '1 Juli 1992', 'appointer': 'Soeharto', 'predecessor': 'Mudjono', 'successor': 'Purwoto Gandasubrata', 'office1': 'Menteri Kehakiman Indonesia', 'order1': 'ke-17', 'term_start1': '9 Februari 1981', 'term_end1': '30 Mei 1984', 'president1': 'Soeharto', 'predecessor1': 'Mudjono', 'successor1': 'Ismail Saleh', 'office2': 'Jaksa Agung Republik Indonesia', 'order2': 'ke-9 < ref name= "" :01 "" / >', 'term_start2': '4 April 1973', 'term_end2': '18 Februari 1981', 'president2': 'Soeharto', 'predecessor2': 'Sugih Arto', 'successor2': 'Ismail Saleh', 'office3': 'Komisi Nasional Hak Asasi ManusiaKetua Komisi Nasional Hak Asasi Manusia', 'order3': 'ke-1', 'term_start3': '1993', 'term_end3': '1996', 'predecessor3': 'pejabat pertama', 'successor3': 'Djoko Soegianto', 'birth_place': 'Magelang, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Korps Hukum', 'alma_mater': 'PTHM', 'occupation': 'hakim, perwira militer'}"
Soegih Arto,"{'birth_place': 'Yogyakarta, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'resting_place': 'Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta Selatan, DKI Jakarta', 'honorific-prefix': 'Letjen TNI (Purn.)', 'image': 'sugiharto.jpg', 'branch': '25px TNI Angkatan Darat', 'rank': '25px Letnan Jenderal TNI', 'serviceyears': '1945 - 1979', 'battles': 'Revolusi Nasional Indonesia', 'alma_mater': 'Hogere Kriegjschool (1952)', 'predecessor': 'Agustinus Sutardhio', 'successor': 'Ali Said', 'term_start': '1966', 'term_end': '1973', 'unit': 'Infanteri', 'profession': 'Jaksa, TNI', 'religion': 'Islam'}"
Andi Muhammad Ghalib,"{'name': 'Andi Muhammad Ghalib', 'image': 'Andi Muhammad Ghalib.jpg', 'image_size': '150px', 'caption': 'Potret resmi sebagai Kababinkum ABRI', 'office': 'Jaksa Agung Republik Indonesia', 'order': 'ke-15', 'president': 'Bacharuddin Jusuf Habibie', 'term_start': '1998', 'term_end': '1999', 'predecessor': 'Soedjono C. Atmonegoro', 'successor': 'Marzuki Darusman', 'office1': 'Duta Besar Indonesia untuk India', 'order1': 'ke-17', 'term_start1': '2008', 'term_end1': '2013', 'president1': 'Susilo Bambang Yudhoyono', 'predecessor1': 'Donnilo Anwar', 'successor1': 'Rizali Wilmar Indrakesuma', 'office2': 'Anggota Dewan Perwakilan Rakyat', 'term_start2': '1 Oktober 2014', 'term_end2': '9 Mei 2016', 'constituency2': 'Sulawesi Selatan II', 'successor2': 'Andi Djamaro Dulung', 'term_start3': '1 Oktober 2004', 'term_end3': '30 September 2009', 'constituency3': 'Sulawesi Selatan I', 'office4': 'Kepala Badan Pembinaan Hukum Angkatan Bersenjata Republik Indonesia', 'term_start4': '1998', 'term_end4': '1998', 'predecessor4': 'Suhardi', 'successor4': 'Timur P. Manurung', 'office5': 'Wakil Gubernur Sulawesi Selatan', 'order5': 'ke-4', 'term_start5': '1992', 'term_end5': '1995', 'governor5': 'Zainal Basri Palaguna', 'predecessor5': 'Ambo Eteng Amin', 'successor5': 'Dharmadi Charsyah', 'birth_place': 'Kaju, Tunreng Tellue, Sibulue, Bone, Sulawesi, Indonesia', 'death_date': '< ref name= "" beritasatu.com_MantanJaksaAgun "" >  < /ref > < ref name= "" nasional.sindonews.com_InnalillahiEksJ "" >  < /ref >', 'death_place': 'Jakarta, Indonesia', 'serviceyears': '1969—1999', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Korps Hukum (Chk)', 'party': 'Partai Persatuan Pembangunan', 'spouse': 'Andi Murniati', 'religion': 'Islam'}"
Soesilo Soedarman,"{'honorific-prefix': '< small > Jenderal (HOR) TNI (Purn.) < /small >', 'name': 'Soesilo Soedarman', 'image': 'Sixth Development Cabinet Poster (Soesilo Soedarman).jpg', 'office': 'Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik IndonesiaMenteri Koordinator Bidang Politik dan Keamanan Republik Indonesia', 'order': 'ke-4', 'term_start': '17 Maret 1993', 'term_end': '18 Desember 1997', 'president': 'Soeharto', 'predecessor': 'Sudomo', 'successor': 'Feisal Tanjung', 'office2': 'Menteri Pariwisata, Pos, dan Telekomunikasi Indonesia', 'order2': 'ke-3', 'term_start2': '21 Maret 1988', 'term_end2': '17 Maret 1993', 'president2': 'Soeharto', 'predecessor2': 'Achmad Tahir', 'successor2': 'Joop Ave', 'office3': 'Duta Besar Indonesia untuk Amerika Serikat', 'order3': 'ke-11', 'term_start3': '1986', 'term_end3': '1988', 'president3': 'Soeharto', 'predecessor3': 'Hasnan A. Habib', 'successor3': 'Abdul Rahman Ramly', 'birth_place': 'Kroya, Cilacap, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'death_cause': 'Pembengkakan jantung', 'nationality': 'Indonesia', 'party': 'Partai Golongan Karya', 'spouse': 'Ny. Widaningsri', 'relations': 'Mayjen TNI (Purn.) Muhammad Mangundiprojo (Ayah Mertua) < br > Letjen TNI (Purn.) Himawan Soetanto (Kakak Ipar) < br > Laksma TNI (Purn.) Wartono Soedarman (Adik Kandung)', 'children': 'Indroyono Soesilo', 'alma_mater': 'Militaire Academie (MA) Jogya Angkatan I (1948)', 'allegiance': 'Indonesia', 'branch': '25px TNI Angkatan Darat', 'rank': '25px Jenderal TNI', 'unit': 'Kavaleri', 'profession': 'Militer', 'religion': 'Islam', 'Cicit': 'Ikhtiar P. Pratama'}"
Mochtar Lubis,"{'name': 'Mochtar Lubis', 'image': 'Mochtar Lubis (1979).jpg', 'birth_place': 'Padang, Hindia', 'nationality': 'Indonesia', 'occupation': 'Penulis'}"
Dorodjatun Kuntjoro-Jakti,"{'honorific-prefix': 'Prof. (Em) Drs.', 'honorific-suffix': 'MA, Ph.D.', 'image': 'Dorodjatun Kuntjoro-Jakti, Duta Besar RI untuk Amerika Serikat (cropped).jpg', 'office': 'Menteri Koordinator Bidang Perekonomian Republik Indonesia', '1': 'Menteri Koordinator Bidang Perekonomian', 'order': 'ke-10', 'president': 'Megawati Soekarnoputri', 'term_start': '10 Agustus 2001', 'term_end': '20 Oktober 2004', 'predecessor': 'Burhanuddin Abdullah', 'successor': 'Aburizal Bakrie', 'birth_place': 'Rangkasbitung, Banten, Hindia Belanda', 'nationality': 'Indonesia', 'party': 'Non partisipan', 'spouse': 'Emiwaty (istri)', 'alma_mater': 'Universitas Indonesia  < br / >  Universitas California, Berkeley', 'occupation': 'Ekonom', 'religion': 'Islam'}"
Maraden Panggabean,"{'honorific-prefix': 'Jenderal TNI (Purn.)', 'image': 'Maraden Panggabean, Irian Barat dari Masa ke Masa, Preface.jpg', 'caption': 'Maraden Panggabean Tahun 1971', 'office': 'Daftar Ketua Dewan Pertimbangan AgungKetua Dewan Pertimbangan Agung Republik Indonesia', 'order': 'ke-8', 'term_start': '1983', 'term_end': '1993', 'president': 'Soeharto', 'predecessor': 'Idham Chalid', 'successor': 'Sudomo', 'office2': 'Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Republik IndonesiaMenteri Koordinator Bidang Politik dan Keamanan Republik Indonesia', 'order2': 'ke-1', 'term_start2': '29 Maret 1978', 'term_end2': '19 Maret 1983', 'predecessor2': 'Jabatan baru', 'successor2': 'Surono Reksodimedjo', 'office3': 'Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-6', 'term_start3': '28 Maret 1973', 'term_end3': '17 April 1978', 'predecessor3': 'Soeharto', 'successor3': 'M. Jusuf', 'office4': 'Menteri Pertahanan Republik IndonesiaMenteri Pertahanan dan Keamanan Indonesia', 'order4': 'ke-14', 'term_start4': '9 September 1971', 'term_end4': '29 Maret 1978', 'predecessor4': 'Soeharto', 'successor4': 'M. Jusuf', 'office5': 'Wakil Panglima Tentara Nasional Indonesia  Wakil Panglima Angkatan Bersenjata Republik Indonesia', 'order5': 'ke-2', 'term_start5': '9 September 1971', 'term_end5': '28 Maret 1973', 'predecessor5': 'A. H. Nasution', 'successor5': 'Sumitro', 'office6': 'Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban', 'order6': 'ke-2', 'term_start6': '19 November 1969', 'term_end6': '9 September 1971', 'predecessor6': 'Soeharto', 'successor6': 'Soemitro', 'office7': 'Kepala Staf TNI Angkatan Darat', 'order7': 'ke-8', 'term_start7': '1 Mei 1967', 'term_end7': '25 November 1969', 'predecessor7': 'Soeharto', 'successor7': 'Umar Wirahadikusumah', 'office8': 'Wakil Kepala Staf TNI Angkatan Darat', 'order8': 'ke-3', 'term_start8': '16 Agustus 1966', 'term_end8': '29 Mei 1967', 'predecessor8': 'Gatot Soebroto', 'successor8': 'Umar Wirahadikusumah', 'birth_name': 'Maraden Saur Halomoan Panggabean', 'birth_place': 'Pansur Napitu, Tarutung, Keresidenan Tapanuli', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Meida Saimima Matiur br. Tambunan', 'occupation': 'Tentara', 'signature': 'Signature of Maraden Panggabean.svg', 'branch': '25px  < br >  TNI Angkatan Darat', 'serviceyears': '1945—1978', 'servicenumber': '12150', 'rank': '25px  < br >  Jenderal TNI', 'unit': 'Infanteri', 'battles': 'Revolusi Nasional IndonesiaKonfrontasi Indonesia–MalaysiaInvasi Indonesia ke Timor Timur'}"
M. Jusuf,"{'image': 'Jenderal TNI M Jusuf.png', 'imagesize': '200px', 'office': 'Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan Keamanan Indonesia', 'order': 'ke-15', 'term_start': '29 Maret 1978', 'term_end': '19 Maret 1983', 'president': 'Soeharto', 'predecessor': 'Maraden Panggabean', 'successor': 'Poniman', 'office2': 'Menteri Perindustrian Indonesia', 'order2': 'ke-9', 'term_start2': '6 Juni 1968', 'term_end2': '28 Maret 1978', 'president2': 'Soeharto', 'predecessor2': 'Ashari Danudirdjo < br / > Muhammad Sanusi', 'successor2': 'A.R. Soehoed', 'office3': 'Menteri Perdagangan Indonesia', 'order3': 'ke-19', 'term_start3': '11 Oktober 1967', 'term_end3': '6 Juni 1968', 'president3': 'Soekarno', 'predecessor3': 'Ashari Danudirdjo', 'successor3': 'Sumitro Djojohadikusumo', 'office5': 'Menteri Perindustrian Ringan Indonesia', 'term_start5': '27 Agustus 1964', 'term_end5': '21 Februari 1966', 'president5': 'Soekarno', 'predecessor5': 'Tidak ada', 'successor5': 'Suharnoko Harbani', 'office4': 'Menteri Perindustrian Dasar Indonesia', 'term_start4': '21 Februari 1966', 'term_end4': '25 Juli 1966', 'president4': 'Soekarno', 'predecessor4': 'Hadi Thayeb', 'successor4': 'Suharnoko Harbani', 'term_start6': '25 Juli 1966', 'term_end6': '17 Oktober 1967', 'president6': 'Soekarno', 'predecessor6': 'Suharnoko Harbani', 'successor6': 'Ashari Danudirdjo', 'office7': 'Panglima Angkatan Bersenjata Republik Indonesia', 'order7': 'ke-7', 'term_start7': '29 Maret 1978', 'term_end7': '19 Maret 1983', 'president7': 'Soeharto', 'predecessor7': 'Maraden Panggabean', 'successor7': 'Leonardus Benyamin Moerdani', 'birth_name': 'Andi Muhammad Jusuf Amir', 'birth_place': 'Kajuara, Bone, Celebes, Hindia Belanda', 'death_place': 'Makassar, Sulawesi Selatan, Indonesia', 'party': 'Independen', 'spouse': 'Elly Saelan', 'children': '1', 'profession': 'Tentara, Politikus, Dokter', 'branch': '25px TNI Angkatan Darat', 'rank': '25px Jenderal TNI', 'serviceyears': '1945–1983', 'unit': 'Infanteri'}"
Leonardus Benyamin Moerdani,"{'image': 'Leonardus Benjamin Moerdani as Commander of the Indonesian National Armed Forces.jpg', 'caption': 'Foto Resmi Benyamin Moerdani, 1985', 'office': 'Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan dan Keamanan', 'order': 'ke-17', 'term_start': '21 Maret 1988', 'term_end': '17 Maret 1993', 'president': 'Soeharto', 'predecessor': 'Poniman', 'successor': 'Edi Sudradjat', 'office3': 'Panglima Tentara Nasional IndonesiaPanglima Angkatan Bersenjata Republik Indonesia', 'order3': 'ke-8', 'term_start3': '28 Maret 1983', 'term_end3': '27 Februari 1988', 'predecessor3': 'M. Jusuf', 'successor3': 'Try Sutrisno', 'office2': 'Komando Operasi Pemulihan Keamanan dan KetertibanPanglima Komando Operasi Pemulihan Keamanan dan Ketertiban', 'order2': 'ke-6', 'term_start2': '29 Maret 1983', 'term_end2': '5 September 1988', 'predecessor2': 'Soedomo', 'successor2': 'Tidak ada, jabatan dihapuskan', 'birth_place': 'Cepu, Blora, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Hartini Moerdani', 'father': 'R.G. Moerdani Sosrodirjo', 'mother': 'Jeanne Roech', 'children': 'Irene Ria Moerdani', 'serviceyears': '1952–1988', 'rank': '25px|  Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'servicenumber': '289461', 'unit': 'Infanteri (Kopassus)', 'religion': 'Katolik'}"
