article_title,colorcode,name,logo,chair,SecGen,leader1_title,leader1_name,foundation,headquarters,ideology,political_position,DPRseats,DPRD1seats,DPRD2seats,flag,abbr,newspaper,youth,women,labour,membership,slogan,website,article_title
Partai Golongan Karya,#FFFF00,Partai Golongan Karya,Logo Golkar.svg,Airlangga Hartarto,Lodewijk Freidrich Paulus,Ketua Fraksi di DPR,Kahar Muzakir,,"Jakarta, Indonesia","PancasilaKonservatismeKonservatisme nasionalDevelopmentalismeLiberalisme ekonomiNasionalisme IndonesiaSekularismeMasa Orde Baru:Tenda besarEditorial of Suara Karya, 1 May 1971Otoritarianisme sayap-kananAnti-komunismeNasionalismeFraksi:Ultranasionalisme",Kanan-tengah ke sayap-kananSelama Orde Baru:Kanan-jauh,,,,,Partai Golkar,Suara Karya (1971–2016),,KPPG (Kesatuan Perempuan Partai Golkar),,839.187 (2022),"Suara Golkar, Suara Rakyat",,Partai Golongan Karya
