article_title,Name,Other name,Logo,Optional caption,Host city,Country,Nations participating,Athletes participating,Events,Opening ceremony,Closing ceremony,Officially opened by,Officially closed by,Athlete's Oath,Judge's Oath,Torch lighter,Stadium,Website,previous,next,1,website,Motto,Torch Lighter,Size,article_title
Pesta Olahraga Asia Tenggara 1997,Pesta Olahraga Asia Tenggara 1997,SEA Games XIX,Seagames1997.png,,Jakarta,,10,6007 (termasuk ofisial),440 dari 34 cabang olahraga,11 Oktober 1997,19 Oktober 1997,SoehartoPresiden Republik Indonesia,SoehartoPresiden Republik Indonesia,,,,Stadion Senayan,Pesta Olahraga Asia Tenggara 1997,Chiangmai 1995,Bandar Seri Begawan 1999,,,,,,Pesta Olahraga Asia Tenggara 1997
FESPIC Games 1986,Pesta Olahraga Difabel Timur Jauh dan Pasifik Selatan 1986IV FESPIC Games,,,,"Solo, Jawa Tengah, Indonesia",,19,834,13 cabang olahraga,31 Agustus,7 September,Soeharto,Abdul Gafur,,,,Stadion Sriwedari,,Sha Tin 1982,Kobe 1989,,,,,,FESPIC Games 1986
