article_title,unit_name,image,caption,dates,country,allegiance,branch,type,role,size,command_structure,garrison,equipment,current_commander,ceremonial_chief,colonel_of_the_regiment,notable_commanders,identification_symbol,1,nickname,patron,motto,colors,march,mascot,battles,anniversaries,decorations,battle_honours,article_title
Angkatan Bersenjata Pembebasan Nasional Timor Timur,Angkatan Bersenjata Pembebasan Nasional Timor Leste,250px,Bendera Falintil,20 Agustus 1975 - 1 Februari 2001,Timor Leste,"Nasional, separatis",,,Gerilya,,,Pegunungan dan hutan di Timor Timur,,,,,,,identification_symbol_2,,,,,,,Pendudukan Indonesia di Timor Timur,,,,Angkatan Bersenjata Pembebasan Nasional Timor Timur
