article_title,number,award,image,alt,caption,date,site,host,preshow,producer,director,best_film,best_direction,best_direction_film,best_actor,best_actor_film,best_actress,best_actress_film,most_wins,network,most_nominations,duration,ratings,last,next,article_title
Pekan Apresiasi Film Nasional 1967,3,Festival Film Indonesia,Marlia Hardi receiving award for Best Supporting Actress on 1967 Indonesian Film Festival.jpg,,Marlia Hardi saat menerima Piala Citra untuk Pemeran Pendukung Wanita Terbaik FFI 1967,9-16 Agustus 1967,Jakarta,,,,,Tidak ada,Misbach Jusa Biran,Dibalik Tjahaja Gemerlapan,Soekarno M. Noor,Dibalik Tjahaja Gemerlapan,Mieke Widjaja,Gadis Kerudung Putih,Petir Sepandjang Malam (4),,,,,1967,1973,Pekan Apresiasi Film Nasional 1967
Festival Film Indonesia 1982,13,Festival Film Indonesia,"Dance performance at 1982 Indonesian Film Festival, Festival Film Indonesia (1982), 1983, front cover.jpg",,"Pembukaan Festival Film Indonesia 1982, Jakarta",9-14 Agustus 1982,Jakarta,,,,,Serangan Fajar,,,,,,,Serangan Fajar (5),TVRI,,,,1981,1983,Festival Film Indonesia 1982
