article_title,title,image,caption,location,target,date,time-begin,time-end,timezone,type,fatalities,injuries,perps,lat_dir,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,label,labelposition,mapname,article_title
Pengeboman Masjid Nurul Iman 1976,Bom Masjid Nurul Iman 1976,,,"Kota Padang, Indonesia",Masjid Nurul Iman,"Kamis, 11 November 1976",22.20 WIB,,UTC+7,,Tidak ada,,,S,1.2,,,100.1,14,,Kota Padang,bottom,Indonesia,Pengeboman Masjid Nurul Iman 1976
Pengeboman Borobudur 1985,Bom Candi Borobudur 1985,Borobudur Bombing 1985.jpg,Kerusakan pada beberapa stupa di teras atas Borobudur akibat serangan teroris Bom Borobudur pada 21 Januari 1985.,"Candi Borobudur, Magelang, Indonesia",Candi Borobudur,21 Januari 1985,,,UTC+7,"Pemboman, Propaganda dengan perbuatan",,,"Mohammad Jawad alias ""Ibrahim"" alias ""Kresna"" (perencana) Abdulkadir Ali Alhabsyi (pelaku) Husein Ali Alhabsyi (pelaku) ""Bom Borobudur, 16 Tahun Kemudian""  - Tempo Online, 17 Mei 1999. Diakses 11 Mei 2010.",S,7,36,28,110,12,13,Magelang,bottom,Indonesia,Pengeboman Borobudur 1985
