article_title,Event_Name,Image_Name,Image_Alt,Image_Caption,Participants,Location,Date,article_title
Pelantikan Bacharuddin Jusuf Habibie,PelantikanBacharuddin Jusuf Habibie,Habibie presidential oath.jpg,,Pelantikan Presiden B.J. Habibie di Istana Merdeka,Presiden B. J. Habibie<center>(penerima jabatan),"Istana MerdekaJakarta Pusat, DKI Jakarta",21 Mei 1998,Pelantikan Bacharuddin Jusuf Habibie
