article_title,title,image,caption,label1,data1,label2,data2,article_title
Daftar gempa bumi di Indonesia,Gempa bumi di Indonesia,File:Map of earthquakes in Indonesia 1900-2019.svg,Gempa bumi di Indonesia dari tahun 1900–2019,Terbesar,Gempa bumi Samudra Hindia 2004,Paling Mematikan,"Gempa bumi Samudra Hindia 2004 227,898 tewas",Daftar gempa bumi di Indonesia
