article_title,movie_name,image,size,caption,director,producer,eproducer,aproducer,writer,starring,music,cinematography,editing,distributor,studio,release_date,runtime,country,awards,movie_language,budget,gross,preceded_by,followed_by,amg_id,imdb_id,image size,name,released,alt,language,screenplay,border,article_title
Djakarta 1966,Djakarta 1966,,230px,,Arifin C. NoerA. Nugraha,G. Dwipayana,,,Arifin C. NoerBur Rasuanto,,Embie C. Noer,Hasan Basri Jafar,Norman Benny,,PPFN,Maret 1989,135 menit,Indonesia,,Bahasa Indonesia,,,Operasi Trisula,,,,,,,,,,,Djakarta 1966
Penumpasan Pengkhianatan G 30 S PKI,,Pengkhianatan G 30 S-PKI.jpg,,Poster rilis oleh PPFN (1984),Arifin C. Noer,,,,,,Embie C. Noer,Hasan Basari,Supandi,Pusat Produksi Film Negara Departemen Penerangan,Pusat Produksi Film Negara Departemen Penerangan,,271 menit,Indonesia,,,Rp 800 juta,,,,,,300px,Penumpasan Pengkhianatan G 30 S PKI,15 September 1984,"Poster rilis, menampilkan lima tokoh utama, montase adegan, dan judul ""Penumpasan Pengkhianatan G 30 S PKI""",Bahasa Indonesia,,,Penumpasan Pengkhianatan G 30 S PKI
