key,combatant2
Pemberontakan DI/TII di Aceh,Indonesia
Pertempuran Lima Hari,Jepang
Pertempuran Bojong Kokosan,Britania Raya
Pertempuran Lengkong,Jepang
Bandung Lautan Api,Kekaisaran Britania
Perang Cumbok,Kaum uleebalang
Delapan Jam Pertempuran di Mangkang,Belanda
Puputan Margarana,Belanda
Perang Dayak Desa,Suku Dayak Desa
Gerakan 30 September,
Kampanye Kalimantan (1945),Kekaisaran Jepang
Pertempuran Medan Area,Britania Raya
Serangan Umum Surakarta,Belanda
Serangan Umum 1 Maret 1949,Belanda
Penyerbuan Kotabaru Yogyakarta,Jepang
Pertempuran Surabaya,Britania Raya
Peristiwa 19 November,Belanda
Peristiwa Tiga Maret,Militan Islam
Pertempuran Kumai,Hindia Belanda
Revolusi Nasional Indonesia,Belanda
Kampanye Hindia Belanda,Kekaisaran Jepang
Operasi 17 Agustus,PRRI
Konflik Papua,Organisasi Papua Merdeka
Konflik Papua,Libya
Bandung Lautan Api,Britania Raya
Bandung Lautan Api,India
Bandung Lautan Api,Imperium Belanda
Bandung Lautan Api,Kerajaan Belanda
Bandung Lautan Api,Hindia Belanda
Bandung Lautan Api,Pemerintahan Sipil Hindia Belanda
Pertempuran Medan Area,Kemaharajaan Britania
Pertempuran Medan Area,Belanda
Pertempuran Medan Area,Hindia Belanda
Pertempuran Surabaya,India
Revolusi Nasional Indonesia,Hindia Belanda
Revolusi Nasional Indonesia,KNIL
Revolusi Nasional Indonesia,NICA
Revolusi Nasional Indonesia,Kesultanan Pontianak
Revolusi Nasional Indonesia,Angkatan Perang Ratu Adil
Revolusi Nasional Indonesia,Pao An Tui
Revolusi Nasional Indonesia,Britania Raya
Revolusi Nasional Indonesia,Kemaharajaan Britania
Konflik Papua,Libya
Konflik Papua,Vanuatu
Konflik Papua,Palau
Konflik Papua,Tuvalu
Konflik Papua,Kepulauan Solomon
Konflik Papua,Tuvalu
Konflik Papua,Nauru
Konflik Papua,Samoa
Konflik Papua,Tonga
