iri,alias
AbdulHarisNasution,A.H. Nasution
AbdulHarisNasution,AH Nasution
AbdulHarisNasution,Pak Nas
AdeIrmaSuryani,"Hj. Ade Irma Suryani, S.Ag."
PrabowoSubianto,Prabowo Soebianto
PrabowoSubianto,Prabowo Subianto Djojohadikusumo
David,Jacques Louis David
David,J.-L. David
David,Lui David
David,Lu-i Ta-wei
David,Louis David
David,Ta-wei-tʻe
David,Zhak Lui David
David,Cen David
David,David Jak Lui
David,J.L. David
David,J. L. David
David,M. le baron David
David,jacques l. david
David,j.l. david
David,j. l. david
David,david jacques-louis
David,jean louis david
David,L. David
David,jac. louis david
David,Jaques Louis David
David,David Louis
David,jacques-louis david
David,jaques louis david
David,David L.
David,David
David,M. Louis David
Stephen,Saint Stephen
Stephen,Stephen the Protomartyr
SriWulandari,Sri Wulandari
HanumSalsabielaRais,"Drg. Hanum Salsabiela, M.B.A."
HanumSalsabielaRais,Hanum Salsabiela
AnindyaBakrie,Anindya Novyan Bakrie
IdaBagusRaiDharmawijayaMantra,Ida Bagus Rai Dharmawijaya Mantra
BambangPermadiSoemantriBrodjonegoro,Bambang Permadi Soemantri Brodjonegoro
BambangPermadiSoemantriBrodjonegoro,Bambang P.S. Brojonegoro
MohammadSyafa'atMintaredja,Mohammad Syafaat Mintaredja
RachmawatiSoekarnoputri,Rachmawati Soekarnoputri
RachmawatiSoekarnoputri,Diah Permana Rachmawati Sukarno
HutomoMandalaPutra,Tommy Soeharto
HutomoMandalaPutra,Hutomo Mandala Putra
KristianiHerrawati,Kristiani Herrawati
KristianiHerrawati,Kristiani Herrawati Yudhoyono
PakuAlamVIII,Sri Paku Alam VIII
PakuAlamVIII,Pakoe Alam K.G.P.A.A.
DaoedJoesoef,Daud Jusuf
DaoedJoesoef,Daud Yusuf
AgusGumiwangKartasasmita,"Dr. Agus Gumiwang Kartasasmita, M.Si"
KharisSuhud,Mohammad Kharis Suhud
HarrySantoso,Dr. Ir. Harry Santoso
SitiHediatiHariyadi,Siti Hediati Soeharto
SitiHediatiHariyadi,Titik Soeharto
SitiHediatiHariyadi,Siti Hediati Hariyadi
SitiHediatiHariyadi,Titiek Prabowo
SitiHediatiHariyadi,Siti Hediati
SitiHediatiHariyadi,Mbak Titiek
SitiHediatiHariyadi,"Siti Hediati Soeharto, S.E."
ZekeKhaseli,Haris Khaseli Gumelar
SitiHutamiEndangAdiningsih,Siti Hutami Endang Adiningsih
Al-SaadiGaddafi,Al-Saadi Qadhafi
Al-SaadiGaddafi,Al-Saadi Muammar Gaddafi
MelaniLeimenaSuharli,Hj. Melani Leimena Suharli
DianIslamiati,"Dian Islamiati Fatwa, S.Sos., M.Sc."
HashimDjojohadikusumo,Hashim Djojohadikusumo
ArmidaAlisjahbana,Armida Salsiah Alisjahbana
ArmidaAlisjahbana,H.E. Dr. Armida Salsiah Alisjahbana
D.I.Pandjaitan,Donald Isac Pandjaitan
D.I.Pandjaitan,Donald Isaac Pandjaitan
D.I.Pandjaitan,D.I. Pandjaitan
EuricoGuterres,"Eurico Guterres, S.E., M.M."
EuricoGuterres,Eurico Barros Gomes Guterres
GuruhSoekarnoputra,Muhammad Guruh Irianto Sukarnoputra
GuruhSoekarnoputra,Guruh Irianto Sukarno Putra
GuruhSoekarnoputra,Guruh Soekarno Putra
GuruhSoekarnoputra,Guruh Soekarno
GuruhSoekarnoputra,Guruh Sukarno Putra
SukmawatiSoekarnoputri,Diah Mutiara Sukmawati Sukarnoputri
SukmawatiSoekarnoputri,DM Sukmawati Sukarno
SukmawatiSoekarnoputri,Sukmawati Sukarno
XananaGusmão,Kay Rala Xanana Gusmão
XananaGusmão,José Alexandre Gusmão
MegawatiSoekarnoputri,Ibu Mega
MegawatiSoekarnoputri,Diah Permata Megawati Setiawati Sukarnoputri
MegawatiSoekarnoputri,Megawati Sukarnoputri
MegawatiSoekarnoputri,Mbak Mega
MegawatiSoekarnoputri,Megawati Taufik Kiemas
MegawatiSoekarnoputri,H.E. Ms. Megawati Soekarno Putri
Moerdiono,Minister/State Secretary Moerdiono
DiazHendropriyono,Diaz Faisal Malik Hendropriyono
MuhammadKhadafi,"H. Muhammad Khadafi, S.Pd., M.A."
Hartini,Hartini Sukarno
Hartini,Siti Suhartini
DewiYustisiana,"Dewi Yustisiana, S.H., M.Kn."
SitiHardijantiRukmana,Siti Hardiyanti Rukmana
SitiHardijantiRukmana,Siti Hardijanti Rukmara
OesmanSaptaOdang,Dr. (h.C.) Oesman Sapta
OesmanSaptaOdang,Oesman Sapta
AlexAsmasoebrata,A.S Alex Asma Soebrata
