iri,id
PSTT,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
UniSoviet,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Uni Soviet
ArabSaudi,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Arab Saudi
UDT,http://commons.wikimedia.org/wiki/Special:FilePath/Underwater Demolition Teams shoulder sleeve patch.JPG,
FRETILIN,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Front Revolusi Independen Timor Leste
AmerikaSerikat,http://commons.wikimedia.org/wiki/Special:FilePath/City Lights of the United States 2012.jpg,https://id.wikipedia.org/wiki/Amerika Serikat
APODETI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Asosiasi Demokratik Rakyat Timor
Mozambik,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Mozambik
FALINTIL,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Angkatan Bersenjata Pembebasan Nasional Timor Timur
ImperiumBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Imperium kolonial Belanda
KerajaanBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerajaan Belanda
BritaniaRaya,http://commons.wikimedia.org/wiki/Special:FilePath/Palace of Westminster from the dome on Methodist Central Hall.jpg,https://id.wikipedia.org/wiki/Britania Raya
HindiaBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Hindia Belanda
LibyanArabJamahiriya,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Jamahiriyah Arab Libya
GerakanAcehMerdeka,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Gerakan Aceh Merdeka
KepulauanSolomon,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kepulauan Solomon
TentaraNasionalIndonesiaAngkatanDarat,http://commons.wikimedia.org/wiki/Special:FilePath/Marder 1A3 TNI-AD.jpg,https://id.wikipedia.org/wiki/Tentara Nasional Indonesia Angkatan Darat
Rusia,http://commons.wikimedia.org/wiki/Special:FilePath/Gorskii 04422u.jpg,https://id.wikipedia.org/wiki/Kekaisaran Rusia
BIN,http://commons.wikimedia.org/wiki/Special:FilePath/Container (PSF).png,https://id.wikipedia.org/wiki/Wewadahan
Brimob,http://commons.wikimedia.org/wiki/Special:FilePath/Brimob Badge.svg,https://id.wikipedia.org/wiki/Korps Brigade Mobil
MohammadJawad,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
UNTAET,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Administrasi Sementara PBB di Timor Timur
Kanada,http://commons.wikimedia.org/wiki/Special:FilePath/Kanada.png,https://id.wikipedia.org/wiki/Kanada (resi)
PDRI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
CIA,"http://commons.wikimedia.org/wiki/Special:FilePath/Aerial view of the Central Intelligence Agency headquarters, Langley, Virginia - Corrected and Cropped.jpg",https://id.wikipedia.org/wiki/Badan Intelijen Pusat
PRRI,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
SelandiaBaru,http://commons.wikimedia.org/wiki/Special:FilePath/Maori dancers performing Haka.jpg,https://id.wikipedia.org/wiki/Selandia Baru
Zambia,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Zambia
TentaraNasionalIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesia Army soldiers.jpg,https://id.wikipedia.org/wiki/Tentara Nasional Indonesia
TentaraNasionalIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesia Army soldiers.jpg,https://id.wikipedia.org/wiki/Tentara Nasional Indonesia
Jerman,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,
Permesta,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Permesta
Yordania,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,"https://id.wikipedia.org/wiki/Yordania Tulak, Tagime, Jayawijaya"
Tuvalu,http://commons.wikimedia.org/wiki/Special:FilePath/Nui atoll.jpg,https://id.wikipedia.org/wiki/Tuvalu
SukuMelayu,"http://commons.wikimedia.org/wiki/Special:FilePath/Marsden Pl. I - A MALAY, native of Bencoolen.jpg",https://id.wikipedia.org/wiki/Suku Melayu
Laksaur,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Laksaur
Nigeria,http://commons.wikimedia.org/wiki/Special:FilePath/The City Gate of Abuja.jpg,https://id.wikipedia.org/wiki/Nigeria
Polandia,http://commons.wikimedia.org/wiki/Special:FilePath/Poland topo.jpg,https://id.wikipedia.org/wiki/Polandia
Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Uruguay
INTERFET,http://commons.wikimedia.org/wiki/Special:FilePath/INTERFET 12 Feb 2000.jpg,https://id.wikipedia.org/wiki/Pasukan Internasional Timor Timur
Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Fitz Roy 1b.jpg,https://id.wikipedia.org/wiki/Argentina
OrganisasiPapuaMerdeka,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Organisasi Papua Merdeka
Tajikistan,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Tajikistan
