a,type,label,wiki
http://127.0.0.1:3333/MuhammadAliPasha,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Muhammad Ali Pasha,
http://127.0.0.1:3333/LaurentdeGouvionSaintCyr,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Laurent de Gouvion Saint-Cyr,
http://127.0.0.1:3333/PrincevonSchwarzenberg,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Prince von Schwarzenberg,
http://127.0.0.1:3333/LouisXVIII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Louis XVIII,
http://127.0.0.1:3333/AdipatiBrunswick,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Adipati Brunswick,
http://127.0.0.1:3333/AloisvonReding,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Alois von Reding,
http://127.0.0.1:3333/PierreCharlesVilleneuve,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pierre-Charles Villeneuve,
http://127.0.0.1:3333/AdipatiWellington,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Adipati Wellington,
http://127.0.0.1:3333/Hungaria,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Hungaria,
http://127.0.0.1:3333/George,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,George,
http://127.0.0.1:3333/JeanBaptisteJourdan,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Jean-Baptiste Jourdan,
http://127.0.0.1:3333/KonfederasiRhine,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Konfederasi Rhine:,
http://127.0.0.1:3333/CharlesXIII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Charles XIII,
http://127.0.0.1:3333/CharlesAlten,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Charles Alten,
http://127.0.0.1:3333/AdipatiAgungJohn,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Adipati Agung John,
http://127.0.0.1:3333/JosephI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Joseph I,
http://127.0.0.1:3333/Toskana,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Toskana,
http://127.0.0.1:3333/HenryAddington,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Henry Addington,
http://127.0.0.1:3333/ArmandAugustinLouisdeCaulaincourt,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Armand Augustin Louis de Caulaincourt,
http://127.0.0.1:3333/GustavIVAdolf,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Gustav IV Adolf,
http://127.0.0.1:3333/FrederickI,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Frederick I,
http://127.0.0.1:3333/JoachimMurat,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Joachim Murat,
