iri,id
J.B.Sumarlin,Q11213335,J. B. Sumarlin
Kuntara,Q28724536,Kuntara
Poniman,Q12506187,Poniman
HasjrulHarahap,Q12485409,Hasjrul Harahap
OetojoOesman,Q12501199,Oetojo Oesman
Sugiono(militer),Q120905927,Sugiono (militer)
AndiSinjayaGhalib,Q109432685,Andi Sinjaya Ghalib
AgungLaksono,Q2581141,Agung Laksono
SalehAfiff,Q14917452,Saleh Afiff
HayonoIsman,Q5687116,Hayono Isman
MusannifRyacudu,Q19943867,Musannif Ryacudu
AriefPatanga,Q28485097,Arif Patanga
GatotSoebroto,Q5261540,Gatot Soebroto
RoesminNoerjadin,Q12508816,Roesmin Noerjadin
SuharnokoHarbani,Q12516580,Suharnoko Harbani
OemarSenoAdji,Q12501175,Oemar Seno Adji
HidayatNurWahid,Q4115277,Hidayat Nur Wahid
KuntoAriefWibowo,Q12492964,Kunto Arief Wibowo
HimawanSoetanto,Q17411418,Himawan Soetanto
Barlian,Q85989071,Barlian
FahriHamzah,Q16176642,Fahri Hamzah
HermanBernhardLeopoldMantiri,Q12485588,Herman Bernhard Leopold Mantiri
Tarub,Q4702740,Tarub
Moetojib,Q17410749,Moetojib
GitaWirjawan,Q5247132,Gita Wirjawan
IndriyantoSenoAdji,Q19733069,Indriyanto Seno Adji
FuadBawazier,Q12483133,Fuad Bawazier
DorodjatunKuntjoro-Jakti,Q5298156,Dorodjatun Kuntjoro-Jakti
AgusHermanto,Q17410358,Agus Hermanto
HarisSudarno,Q17410566,Haris Sudarno
JuwonoSudarsono,Q3107476,Juwono Sudarsono
RachmatSaleh,Q12507599,Rachmat Saleh
SoegihArto,Q12516549,Sugih Arto
NugrohoNotosusanto,Q2165337,Nugroho Notosusanto
HuseinMutahar,Q12485004,Husein Mutahar
MuhammadAlwiDahlan,Q12499338,Muhammad Alwi Dahlan
JusufWibisono,Q6854709,Jusuf Wibisono
BandjelaPaliudju,Q12474142,Bandjela Paliudju
JustikaBaharsjah,Q12488227,Justika Baharsjah
SoedjonoDjoenedPoesponegoro,Q19723944,Soedjono Djoened Poesponegoro
ArifinSiregar,Q12472462,Arifin Siregar
GinandjarKartasasmita,Q5562954,Ginandjar Kartasasmita
FransSeda,Q981547,Frans Seda
HasriAinunBesari,Q3294779,Hasri Ainun Habibie
YogieSuardiMemet,Q12525261,Yogie Suardi Memet
Wahono,Q19944501,Wahono
IGustiKetutPudja,Q12486168,I Gusti Ketut Pudja
PeterCosgrove,Q976974,Peter Cosgrove
Djatikoesoemo,Q11201468,Djatikoesoemo
SoerjadiSoerjadarma,Q4843380,Soerjadi Soerjadarma
SabamSirait,Q49255409,Sabam Sirait
SetyaNovanto,Q18421371,Setya Novanto
AliSaid,Q12471492,Ali Said
MochtarKusumaatmadja,Q4200159,Mochtar Kusumaatmadja
MohamadHekal,Q109564145,Mohamad Hekal
Soemono,Q12515762,Soemono
MarzukiUsman,Q12497198,Marzuki Usman
AhmadYunusMokoginta,Q25470126,Ahmad Yunus Mokoginta
Soebandrio,Q7553474,Soebandrio
IskandarSitompul,Q16183738,Iskandar Sitompul
RyamizardRyacudu,Q7419814,Ryamizard Ryacudu
HaryatiSoebadio,Q12485375,Haryati Soebadio
AdnanKapauGani,Q4264085,Adnan Kapau Gani
NaniSoedarsono,Q12500067,Nani Soedarsono
SuronoReksodimedjo,Q12518151,Surono Reksodimedjo
SoemarnoSosroatmodjo,Q13097202,Soemarno Sosroatmodjo
Muladi,Q963251,Muladi
DjoehanaWiradikarta,Q3033048,Djoehana Wiradikarta
AlamsyahRatuPerwiranegara,Q12471383,Alamsyah Ratu Perwiranegara
LukitaDinarsyahTuwo,Q12495549,Lukita Dinarsyah Tuwo
HadiPrabowo,Q12485045,Hadi Prabowo
M.Sarbini,Q12495707,M. Sarbini
IrmanGusman,Q7353487,Irman Gusman
Wiranto,Q731740,Wiranto
SoerjadiSoedirdja,Q13097203,Soerjadi Soedirdja
R.Hartono,Q12507527,R. Hartono
FirmanSantyabudi,Q16177287,Firman Santyabudi
W.A.F.J.Tumbelaka,Q20426868,W. A. F. J. Tumbelaka
AliMoertopo,Q468481,Ali Murtopo
Rudini,Q12508994,Rudini
SintongPanjaitan,Q12515300,Sintong Panjaitan
SuyonoSosrodarsono,Q109430737,Suyono Sosrodarsono
MuinPusadan,Q28354436,Muin Pusadan
KasmanSingodimedjo,Q16187634,Kasman Singodimedjo
FilomenoHornay,Q12482961,Filomeno Hornay
HartantoEdhieWibowo,Q12485356,Hartanto Edhie Wibowo
Soekarto,Q49251334,Soekarto
DewiAsmara,Q123337918,Dewi Asmara
AdeKomarudin,Q18421322,Ade Komarudin
BambangSubianto,Q12473895,Bambang Subianto
MaharMardjono,Q12496097,Mahar Mardjono
WidjojoNitisastro,Q4261785,Widjojo Nitisastro
Goenarso,Q12484310,Goenarso
MohamadSulemanHidayat,Q4258719,Mohamad Suleman Hidayat
AhmadYani,Q2992817,Ahmad Yani
FeisalTanjung,Q12482854,Feisal Tanjung
HadiUtomo,Q16179383,Hadi Utomo
Sujudi,Q17411455,Sujudi
IdaBagusMantra,Q13637491,Ida Bagus Mantra
AmirMachmud,Q4252072,Amir Machmud
HastoWardoyo,Q16180422,Hasto Wardoyo
SoedarsonoHadisapoetro,Q7553479,Soedarsono Hadisapoetro
WismoyoArismunandar,Q12524651,Wismoyo Arismunandar
SoemitroDjojohadikoesoemo,Q7553510,Soemitro Djojohadikoesoemo
SyariefThayeb,Q17411574,Syarief Thayeb
PurwotoGandasubrata,Q17410540,Purwoto Gandasubrata
Philip,Q827311,Philip
SigitHarjojudanto,Q12514651,Sigit Harjojudanto
PuteriAnettaKomarudin,Q96988370,Puteri Anetta Komarudin
AdiPutraDarmawanTahir,Q17410349,Adi Putra Darmawan Tahir
ArdiBakrie,Q56416988,Anindra Ardiansyah Bakrie
Milad,Q20000614,Milad
MandiraIsman,Q109429169,Mandira Isman
HadiThayeb,Q12485046,Hadi Thayeb
TeukuMohammadHamzahThayeb,Q17411575,Teuku Mohammad Hamzah Thayeb
DewiDamayanti,Q108893626,Dewi Damayanti Soetomo
SriSaraswati,Q67508881,Sri Saraswati Hindi Spl. Primary School
BataraImanuelSirait,Q108901528,Batara Imanuel Sirait
AbdulHarisNasution,Q317291,Abdul Haris Nasution
AdeIrmaSuryani,Q123867418,Ade Irma Suryani
PrabowoSubianto,Q2107268,Prabowo Subianto
AmiGumelar,Q106977571,Ami Gumelar
BambangTrihatmodjo,Q12473900,Bambang Trihatmodjo
David,Q83155,Jacques-Louis David
Stephen,Q161775,Stephen
EmilArifin,Q16175997,Emil Arifin
Sapardjo,Q56400151,Sapardjo
EddyRumpoko,Q17410508,Eddy Rumpoko
NinukMardianaPambudy,Q111214973,Ninuk Mardiana Pambudy
SriWulandari,Q119088329,Sri Wulandar
SiswondoParman,Q2603618,Siswondo Parman
HanumSalsabielaRais,Q7347498,Hanum Salsabiela Rais
AnindyaBakrie,Q12472166,Anindya Bakrie
LuckyAliMoerfiqin,Q108893271,Lucky Ali Moerfiqin
IdaBagusRaiDharmawijayaMantra,Q16731948,I. B. Rai Dharmawijaya Mantra
Witarmin,Q19745236,Witarmin
Sudiono,Q123877949,Sudiono
BambangPermadiSoemantriBrodjonegoro,Q16169810,Bambang Brodjonegoro
GunturSoekarnoputra,Q49247960,Guntur Soekarnoputra
AchmadTahir,Q12470654,Achmad Tahir
ChaerulPermataCita,Q123945718,Chaerul Permata Cita
YuliaSaprita,Q123945706,Yulia Saprita
HariIndraUtama,Q123945697,Hari Indra Utama
HeriyantoTahir,Q123945692,Heriyanto Tahir
GeloraSuryaDharma,Q123945688,Gelora Surya Dharma
MohammadSyafa'atMintaredja,Q18421350,Mohammad Syafa'at Mintaredja
AmeliaAchmadYani,Q19751265,Amelia Achmad Yani
AlwinArifin,Q17998029,Alwin Arifin
IndroyonoSoesilo,Q18421427,Indroyono Soesilo
SyamsuryaRyacudu,Q17411159,Syamsurya Ryacudu
AyeshaKhadafi,Q231552,Ayesha Gaddafi
AgungFirmanSampurna,Q31173140,Agung Firman Sampurna
RachmawatiSoekarnoputri,Q12507600,Rachmawati Sukarnoputri
HutomoMandalaPutra,Q3177695,Tommy Suharto
SarwoEdhieWibowo,Q7424827,Sarwo Edhie Wibowo
MastutiRahayu,Q101424605,Mastuti Rahayu
KristianiHerrawati,Q4200758,Ani Yudhoyono
WrahastiCendrawasih,Q101424664,Wrahasti Cendrawasih
PakuAlamVIII,Q2140777,Paku Alam VIII
FahmiSaifuddin,Q65031161,Fahmi D. Saifuddin
