iri,id
wikipediaRevolusiNasionalIndonesia,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Militaire kolonne tijdens de eerste politionele actie TMnr 10029135.jpg,https://id.wikipedia.org/wiki/Revolusi Nasional Indonesia
wikipediaGerakan30September,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Gerakan 30 September
wikipediaInvasiAmbon,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Invasi Ambon
wikipediaKrisissanderaMapenduma,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Krisis sandera Mapenduma
wikipediaKerusuhanPoso,http://commons.wikimedia.org/wiki/Special:FilePath/Fronts of Poso riots (colored with text).svg,https://id.wikipedia.org/wiki/Kerusuhan Poso
wikipediaTragediTrisakti,http://commons.wikimedia.org/wiki/Special:FilePath/May 1998 Trisakti incident.jpg,https://id.wikipedia.org/wiki/Tragedi Trisakti
wikipediaKerusuhanrasialJawaTengah1980,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerusuhan rasial Jawa Tengah 1980
wikipediaInvasiIndonesiakeTimorTimur,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Invasi Indonesia ke Timor Timur
wikipediaPeristiwaTanjungPriok,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Peristiwa Tanjung Priok
wikipediaBandungLautanApi,http://commons.wikimedia.org/wiki/Special:FilePath/Bandung Lautan Api.jpg,https://id.wikipedia.org/wiki/Bandung Lautan Api
wikipediaPemberontakandiAceh,http://commons.wikimedia.org/wiki/Special:FilePath/IndonesiaAceh.png,https://id.wikipedia.org/wiki/Pemberontakan di Aceh
wikipediaKerusuhanSambas,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerusuhan Sambas
wikipediaPertempuranSungeiKoemba,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Pertempuran Sungei Koemba
wikipediaOperasiTrikora,http://commons.wikimedia.org/wiki/Special:FilePath/Yos Sudarso Postage Stamp.jpg,https://id.wikipedia.org/wiki/Operasi Trikora
wikipediaKonfrontasiIndonesiaMalaysia,http://commons.wikimedia.org/wiki/Special:FilePath/British forces in Borneo during Confrontation.jpg,https://id.wikipedia.org/wiki/Konfrontasi Indonesia–Malaysia
wikipediaSerangankeLimbang,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Serangan ke Limbang
wikipediaOperasi17Agustus,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Operasi 17 Agustus
wikipediaPembantaianGerejaLiqui,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Pembantaian Gereja Liquiçá
wikipediaPendaratandiLabis,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Pendaratan di Labis
wikipediaAgresiMiliterBelandaII,"http://commons.wikimedia.org/wiki/Special:FilePath/Een autobus zonder banden en met palmtakken op het dak, ligt gekanteld op een w, Bestanddeelnr 2912.jpg",https://id.wikipedia.org/wiki/Agresi Militer Belanda II
wikipediaTragediSemanggi,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Tragedi Semanggi
wikipediaPeristiwa27Juli,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Peristiwa 27 Juli
wikipediaPermesta,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Permesta
wikipediaOperasiTrisula,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Operasi Trisula
wikipediaPeristiwaArfai,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Peristiwa Arfai
wikipediaGenosidaTimorTimur,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Genosida Timor Timur
wikipediaOperasimiliterIndonesiadiAceh19901998,http://commons.wikimedia.org/wiki/Special:FilePath/IndonesiaAceh.png,https://id.wikipedia.org/wiki/Operasi militer Indonesia di Aceh 1990-1998
wikipediaKonfliksektarianMaluku,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Konflik sektarian Maluku
wikipediaPertempuranLautAru,http://commons.wikimedia.org/wiki/Special:FilePath/Yos Sudarso Postage Stamp.jpg,https://id.wikipedia.org/wiki/Pertempuran Laut Aru
wikipediaPembantaianGerejaSuai,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Pembantaian Gereja Suai
wikipediaKerusuhanBanjarmasin,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerusuhan Banjarmasin
wikipediaSeranganUmum1Maret1949,http://commons.wikimedia.org/wiki/Special:FilePath/Munumen Serangan Umum 1 Maret 1949.jpg,https://id.wikipedia.org/wiki/Serangan Umum 1 Maret 1949
wikipediaKerusuhanMei1998,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kerusuhan Mei 1998
wikipediaKejatuhanSoeharto,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Kejatuhan Soeharto
wikipediaKampanyeHindiaBelanda,http://commons.wikimedia.org/wiki/Special:FilePath/COLLECTIE TROPENMUSEUM Het Nederlands-Indische leger vernielt marine-installaties te Soerabaja alvorens de Japanners landen TMnr 10001962.jpg,https://id.wikipedia.org/wiki/Kampanye Hindia Belanda
wikipediaKrisisTimorTimur1999,http://commons.wikimedia.org/wiki/Special:FilePath/INTERFET 12 Feb 2000.jpg,https://id.wikipedia.org/wiki/Krisis Timor Timur 1999
wikipediaOperasiJayapura1976,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Operasi Jayapura 1976
wikipediaPemberontakanDarulIslam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag of Islamic State of Indonesia.svg,https://id.wikipedia.org/wiki/Pemberontakan Darul Islam
wikipediaMalari,http://commons.wikimedia.org/wiki/Special:FilePath/Histopathology of malaria exoerythrocytic forms in liver 07G0024 lores.jpg,https://id.wikipedia.org/wiki/Malaria
wikipediaKonflikPapua,http://commons.wikimedia.org/wiki/Special:FilePath/New guinea named.PNG,https://id.wikipedia.org/wiki/Konflik Papua
wikipediaSeranganUmumSurakarta,"http://commons.wikimedia.org/wiki/Special:FilePath/Statue of Slamet Rijadi in Surakarta, Indonesia.jpg",https://id.wikipedia.org/wiki/Serangan Umum Surakarta
wikipediaPerangTakhtaJawaKedua,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Takhta Jawa Kedua
wikipediaPerangDiponegoro,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaas Pieneman - The Submission of Prince Dipo Negoro to General De Kock.jpg,https://id.wikipedia.org/wiki/Perang Diponegoro
wikipediaPerangBelandaPortugal,"http://commons.wikimedia.org/wiki/Special:FilePath/Victor Meirelles - 'Battle of Guararapes', 1879, oil on canvas, Museu Nacional de Belas Artes, Rio de Janeiro.JPG",https://id.wikipedia.org/wiki/Perang Belanda-Portugal
wikipediaPerangJawa17411743,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Jawa (1741–1743)
wikipediaPerangTakhtaJawaPertama,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Takhta Jawa Pertama
wikipediaPeperanganeraNapoleon,http://commons.wikimedia.org/wiki/Special:FilePath/Bonaparte David Charlottenburg.jpg,https://id.wikipedia.org/wiki/Peperangan era Napoleon
wikipediaPerangBubat,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Bubat
wikipediaPerangPasifik,http://commons.wikimedia.org/wiki/Special:FilePath/US landings.jpg,https://id.wikipedia.org/wiki/Perang Pasifik
wikipediaPertempuranBojongKokosan,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Pertempuran Bojong Kokosan
wikipediaPerangRegreg,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Regreg
wikipediaDelapanJamPertempurandiMangkang,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Delapan Jam Pertempuran di Mangkang
wikipediaPerangAceh,http://commons.wikimedia.org/wiki/Special:FilePath/Voor-de-Kraton2.jpg,https://id.wikipedia.org/wiki/Perang Aceh
wikipediaInvasiCholakeSriwijaya,http://commons.wikimedia.org/wiki/Special:FilePath/Rajendra map new.svg,https://id.wikipedia.org/wiki/Invasi Chola ke Sriwijaya
wikipediaPerangBayu,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Bayu
wikipediaPerangBelasting,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Belasting
wikipediaPeristiwaTigaMaret,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Peristiwa Tiga Maret
wikipediaPerangKuning,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Kuning
wikipediaPerangPadri,http://commons.wikimedia.org/wiki/Special:FilePath/Aftocht-van-de-bezetting-va.jpg,https://id.wikipedia.org/wiki/Perang Padri
wikipediaPerangCumbok,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Cumbok
wikipediaPerangTakhtaJawaKetiga,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Takhta Jawa Ketiga
wikipediaGegerSepehi,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Geger Sepehi
wikipediaPerangDayakDesa,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Perang Dayak Desa
wikipediaPenyerbuanKotabaruYogyakarta,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Penyerbuan Kotabaru Yogyakarta
wikipediaPenyerbuanMeesterCornelis,http://commons.wikimedia.org/wiki/Special:FilePath/default.png,https://id.wikipedia.org/wiki/Penyerbuan Meester Cornelis
